Word,Clickbait,Non-clickbait,Clickbait probability,Non-Clickbait probability,Clickbait normal probability,Non-clickbait normal probability
"inspiration",2,0,1.000,0.000,0.833,0.167
"behind",3,4,0.429,0.571,0.437,0.563
"oblivion",1,0,1.000,0.000,0.750,0.250
"instagram",17,0,1.000,0.000,0.972,0.028
"account",3,0,1.000,0.000,0.875,0.125
"recreating",1,0,1.000,0.000,0.750,0.250
"2015's",2,0,1.000,0.000,0.833,0.167
"greatest",5,0,1.000,0.000,0.917,0.083
"hits",2,8,0.200,0.800,0.227,0.773
"barbies",1,0,1.000,0.000,0.750,0.250
"22",31,1,0.969,0.031,0.955,0.045
"adele",9,0,1.000,0.000,0.950,0.050
"memes",8,0,1.000,0.000,0.944,0.056
"pictures",31,0,1.000,0.000,0.984,0.016
"hot",17,0,1.000,0.000,0.972,0.028
"will",153,10,0.939,0.061,0.936,0.064
"never",23,1,0.958,0.042,0.940,0.060
"understand",32,0,1.000,0.000,0.985,0.015
"badly",1,1,0.500,0.500,0.500,0.500
"taking",3,1,0.750,0.250,0.700,0.300
"direction",4,0,1.000,0.000,0.900,0.100
"hiatus",1,0,1.000,0.000,0.750,0.250
"want",24,1,0.960,0.040,0.942,0.058
"guys",11,0,1.000,0.000,0.958,0.042
"pinterest",2,0,1.000,0.000,0.833,0.167
"leaf",1,0,1.000,0.000,0.750,0.250
"hacks",5,0,1.000,0.000,0.917,0.083
"tips",5,0,1.000,0.000,0.917,0.083
"hiking",1,0,1.000,0.000,0.750,0.250
"kids",31,0,1.000,0.000,0.984,0.016
"parent",1,1,0.500,0.500,0.500,0.500
"scariest",1,0,1.000,0.000,0.750,0.250
"halloween",33,0,1.000,0.000,0.985,0.015
"candy",5,0,1.000,0.000,0.917,0.083
"taste",6,0,1.000,0.000,0.929,0.071
"test",19,13,0.594,0.406,0.591,0.409
"dog",14,1,0.933,0.067,0.906,0.094
"begging",1,0,1.000,0.000,0.750,0.250
"human's",1,0,1.000,0.000,0.750,0.250
"forgiveness",1,0,1.000,0.000,0.750,0.250
"cutest",5,0,1.000,0.000,0.917,0.083
"you'll",40,0,1.000,0.000,0.988,0.012
"today",12,2,0.857,0.143,0.833,0.167
"100",8,6,0.571,0.429,0.567,0.433
"years",12,15,0.444,0.556,0.446,0.554
"bollywood",4,1,0.800,0.200,0.750,0.250
"cinema",2,0,1.000,0.000,0.833,0.167
"under",4,9,0.308,0.692,0.321,0.679
"four",7,10,0.412,0.588,0.417,0.583
"minutes",6,1,0.857,0.143,0.812,0.188
"ed",4,1,0.800,0.200,0.750,0.250
"westwick",1,0,1.000,0.000,0.750,0.250
"showed",1,0,1.000,0.000,0.750,0.250
"up",47,32,0.595,0.405,0.594,0.406
"emmys",3,0,1.000,0.000,0.875,0.125
"party",10,11,0.476,0.524,0.477,0.523
"looking",7,2,0.778,0.222,0.750,0.250
"like",63,5,0.926,0.074,0.920,0.080
"chuck",1,0,1.000,0.000,0.750,0.250
"bass",1,0,1.000,0.000,0.750,0.250
"dreams",4,0,1.000,0.000,0.900,0.100
"favorite",31,2,0.939,0.061,0.926,0.074
"activity",1,1,0.500,0.500,0.500,0.500
"visiting",1,2,0.333,0.667,0.375,0.625
"take",21,14,0.600,0.400,0.597,0.403
"color",14,0,1.000,0.000,0.967,0.033
"far",6,0,1.000,0.000,0.929,0.071
"you'd",2,0,1.000,0.000,0.833,0.167
"go",13,8,0.619,0.381,0.614,0.386
"brave",1,0,1.000,0.000,0.750,0.250
"enough",1,4,0.200,0.800,0.250,0.750
"date",12,0,1.000,0.000,0.962,0.038
"werewolf",2,0,1.000,0.000,0.833,0.167
"18",50,3,0.943,0.057,0.935,0.065
"everyone",33,1,0.971,0.029,0.957,0.043
"hates",4,0,1.000,0.000,0.900,0.100
"pda",1,0,1.000,0.000,0.750,0.250
"27",24,2,0.923,0.077,0.907,0.093
"always",9,1,0.900,0.100,0.864,0.136
"happen",9,0,1.000,0.000,0.950,0.050
"office",4,3,0.571,0.429,0.562,0.438
"many",15,3,0.833,0.167,0.816,0.184
"these",86,0,1.000,0.000,0.994,0.006
"spongebob",1,0,1.000,0.000,0.750,0.250
"faces",7,7,0.500,0.500,0.500,0.500
"recognize",7,0,1.000,0.000,0.937,0.063
"golden",6,0,1.000,0.000,0.929,0.071
"globe",4,1,0.800,0.200,0.750,0.250
"reaction",1,2,0.333,0.667,0.375,0.625
"face",3,4,0.429,0.571,0.437,0.563
"25",25,2,0.926,0.074,0.911,0.089
"reasons",35,1,0.972,0.028,0.959,0.041
"trip",3,2,0.600,0.400,0.583,0.417
"costa",1,2,0.333,0.667,0.375,0.625
"rica",1,1,0.500,0.500,0.500,0.500
"could",13,11,0.542,0.458,0.540,0.460
"change",7,6,0.538,0.462,0.536,0.464
"life",49,5,0.907,0.093,0.900,0.100
"literally",9,0,1.000,0.000,0.950,0.050
"just",42,5,0.894,0.106,0.885,0.115
"46",3,0,1.000,0.000,0.875,0.125
"photos",28,2,0.933,0.067,0.919,0.081
"scotland",4,6,0.400,0.600,0.409,0.591
"sexy",4,0,1.000,0.000,0.900,0.100
"as",28,66,0.298,0.702,0.300,0.700
"hell",6,0,1.000,0.000,0.929,0.071
"58",1,0,1.000,0.000,0.750,0.250
"mildly",3,0,1.000,0.000,0.875,0.125
"annoy",1,0,1.000,0.000,0.750,0.250
"anyone",13,0,1.000,0.000,0.964,0.036
"lives",5,5,0.500,0.500,0.500,0.500
"someone",12,0,1.000,0.000,0.962,0.038
"messy",2,0,1.000,0.000,0.833,0.167
"places",10,1,0.909,0.091,0.875,0.125
"lovers",5,0,1.000,0.000,0.917,0.083
"london",4,16,0.200,0.800,0.214,0.786
"lyrics",19,0,1.000,0.000,0.975,0.025
"hotline",2,0,1.000,0.000,0.833,0.167
"bling",2,0,1.000,0.000,0.833,0.167
"drake",8,0,1.000,0.000,0.944,0.056
"weasley",1,0,1.000,0.000,0.750,0.250
"books",11,0,1.000,0.000,0.958,0.042
"90s",10,0,1.000,0.000,0.955,0.045
"kid",8,0,1.000,0.000,0.944,0.056
"immediately",4,0,1.000,0.000,0.900,0.100
"organisation",1,0,1.000,0.000,0.750,0.250
"trying",6,1,0.857,0.143,0.812,0.188
"launch",1,12,0.077,0.923,0.107,0.893
"india's",4,0,1.000,0.000,0.900,0.100
"transgender",2,1,0.667,0.333,0.625,0.375
"model",8,2,0.800,0.200,0.773,0.227
"agency",1,3,0.250,0.750,0.300,0.700
"request",1,2,0.333,0.667,0.375,0.625
"timeout",1,0,1.000,0.000,0.750,0.250
"issa",1,0,1.000,0.000,0.750,0.250
"rae's",1,0,1.000,0.000,0.750,0.250
"insecure",2,0,1.000,0.000,0.833,0.167
"coming",5,2,0.714,0.286,0.687,0.313
"hbo",2,1,0.667,0.333,0.625,0.375
"long",6,4,0.600,0.400,0.591,0.409
"well",32,0,1.000,0.000,0.985,0.015
"pretty",9,0,1.000,0.000,0.950,0.050
"little",15,4,0.789,0.211,0.775,0.225
"liars",1,0,1.000,0.000,0.750,0.250
"you've",19,0,1.000,0.000,0.975,0.025
"using",8,5,0.615,0.385,0.607,0.393
"rice",4,0,1.000,0.000,0.900,0.100
"cooker",7,0,1.000,0.000,0.937,0.063
"wrong",6,1,0.857,0.143,0.812,0.188
"entire",3,0,1.000,0.000,0.875,0.125
"no",17,12,0.586,0.414,0.583,0.417
"actors",6,0,1.000,0.000,0.929,0.071
"nominated",1,0,1.000,0.000,0.750,0.250
"oscar",5,0,1.000,0.000,0.917,0.083
"year",25,9,0.735,0.265,0.729,0.271
"pissed",1,0,1.000,0.000,0.750,0.250
"totally",14,0,1.000,0.000,0.967,0.033
"nailed",3,0,1.000,0.000,0.875,0.125
"modern",2,0,1.000,0.000,0.833,0.167
"day",26,17,0.605,0.395,0.602,0.398
"would",29,2,0.935,0.065,0.922,0.078
"easy",18,0,1.000,0.000,0.974,0.026
"delicious",18,0,1.000,0.000,0.974,0.026
"one-pan",1,0,1.000,0.000,0.750,0.250
"breakfasts",3,0,1.000,0.000,0.875,0.125
"tried",11,0,1.000,0.000,0.958,0.042
"magic",3,0,1.000,0.000,0.875,0.125
"wands",1,0,1.000,0.000,0.750,0.250
"happened",12,0,1.000,0.000,0.962,0.038
"charli",1,0,1.000,0.000,0.750,0.250
"xcx",1,0,1.000,0.000,0.750,0.250
"looked",14,0,1.000,0.000,0.967,0.033
"space",4,11,0.267,0.733,0.281,0.719
"dominatrix",1,0,1.000,0.000,0.750,0.250
"mtv",4,0,1.000,0.000,0.900,0.100
"emas",3,0,1.000,0.000,0.875,0.125
"avengers",2,0,1.000,0.000,0.833,0.167
"they",29,0,1.000,0.000,0.983,0.017
"originally",1,0,1.000,0.000,0.750,0.250
"comics",2,0,1.000,0.000,0.833,0.167
"urinals",1,0,1.000,0.000,0.750,0.250
"worst",20,1,0.952,0.048,0.932,0.068
"human",1,3,0.250,0.750,0.300,0.700
"invention",1,0,1.000,0.000,0.750,0.250
"free",4,2,0.667,0.333,0.643,0.357
"car",2,12,0.143,0.857,0.167,0.833
"oprah",1,1,0.500,0.500,0.500,0.500
"tub",2,0,1.000,0.000,0.833,0.167
"vaseline",1,0,1.000,0.000,0.750,0.250
"tyra",1,0,1.000,0.000,0.750,0.250
"28",11,2,0.846,0.154,0.821,0.179
"crimes",1,3,0.250,0.750,0.300,0.700
"committed",1,1,0.500,0.500,0.500,0.500
"19",72,2,0.973,0.027,0.967,0.033
"beautiful",10,1,0.909,0.091,0.875,0.125
"feels",7,1,0.875,0.125,0.833,0.167
"rid",2,0,1.000,0.000,0.833,0.167
"acne",1,0,1.000,0.000,0.750,0.250
"over",14,71,0.165,0.835,0.169,0.831
"body",8,6,0.571,0.429,0.567,0.433
"24-year-old",1,0,1.000,0.000,0.750,0.250
"got",22,1,0.957,0.043,0.937,0.063
"drunk",10,0,1.000,0.000,0.955,0.045
"accidentally",1,0,1.000,0.000,0.750,0.250
"booked",1,0,1.000,0.000,0.750,0.250
"insane",5,0,1.000,0.000,0.917,0.083
"vacation",2,1,0.667,0.333,0.625,0.375
"going",14,2,0.875,0.125,0.853,0.147
"buy",6,3,0.667,0.333,0.650,0.350
"leona",1,0,1.000,0.000,0.750,0.250
"lewis's",1,0,1.000,0.000,0.750,0.250
"exclusive",1,0,1.000,0.000,0.750,0.250
"grindr",1,0,1.000,0.000,0.750,0.250
"24",34,4,0.895,0.105,0.885,0.115
"desserts",5,0,1.000,0.000,0.917,0.083
"aren't",9,0,1.000,0.000,0.950,0.050
"pie",1,0,1.000,0.000,0.750,0.250
"jason",2,1,0.667,0.333,0.625,0.375
"aldean",1,0,1.000,0.000,0.750,0.250
"wore",5,0,1.000,0.000,0.917,0.083
"blackface",2,0,1.000,0.000,0.833,0.167
"dress",8,0,1.000,0.000,0.944,0.056
"lil",1,0,1.000,0.000,0.750,0.250
"wayne",1,0,1.000,0.000,0.750,0.250
"college",12,1,0.923,0.077,0.893,0.107
"sucked",2,0,1.000,0.000,0.833,0.167
"hardest",5,0,1.000,0.000,0.917,0.083
"america's",2,1,0.667,0.333,0.625,0.375
"next",11,3,0.786,0.214,0.767,0.233
"top",6,11,0.353,0.647,0.361,0.639
"quiz",15,0,1.000,0.000,0.969,0.031
"determine",10,0,1.000,0.000,0.955,0.045
"masturbate",2,0,1.000,0.000,0.833,0.167
"42",7,1,0.875,0.125,0.833,0.167
"romantic",3,1,0.750,0.250,0.700,0.300
"lines",2,0,1.000,0.000,0.833,0.167
"ya",3,0,1.000,0.000,0.875,0.125
"reporter",2,6,0.250,0.750,0.278,0.722
"responded",2,0,1.000,0.000,0.833,0.167
"vulgar",1,0,1.000,0.000,0.750,0.250
"comment",4,0,1.000,0.000,0.900,0.100
"mama",1,0,1.000,0.000,0.750,0.250
"joke",1,0,1.000,0.000,0.750,0.250
"smooth",1,0,1.000,0.000,0.750,0.250
"af",15,0,1.000,0.000,0.969,0.031
"bart",1,0,1.000,0.000,0.750,0.250
"lisa",3,0,1.000,0.000,0.875,0.125
"compatible",1,0,1.000,0.000,0.750,0.250
"remember",27,0,1.000,0.000,0.982,0.018
"vampire",3,0,1.000,0.000,0.875,0.125
"diaries",1,0,1.000,0.000,0.750,0.250
"murder",3,10,0.231,0.769,0.250,0.750
"house",10,19,0.345,0.655,0.350,0.650
"sabrina",1,0,1.000,0.000,0.750,0.250
"teenage",2,0,1.000,0.000,0.833,0.167
"witch",2,0,1.000,0.000,0.833,0.167
"12",23,6,0.793,0.207,0.783,0.217
"grew",9,1,0.900,0.100,0.864,0.136
"san",2,6,0.250,0.750,0.278,0.722
"francisco",2,3,0.400,0.600,0.417,0.583
"say",11,9,0.550,0.450,0.548,0.452
"chronic",1,0,1.000,0.000,0.750,0.250
"pain",2,1,0.667,0.333,0.625,0.375
"hear",7,0,1.000,0.000,0.937,0.063
"amazing",17,1,0.944,0.056,0.921,0.079
"bodycon",1,0,1.000,0.000,0.750,0.250
"looks",13,7,0.650,0.350,0.643,0.357
"wanna",1,0,1.000,0.000,0.750,0.250
"rock",10,2,0.833,0.167,0.808,0.192
"there's",6,0,1.000,0.000,0.929,0.071
"beauty",16,1,0.941,0.059,0.917,0.083
"box",2,1,0.667,0.333,0.625,0.375
"catering",1,0,1.000,0.000,0.750,0.250
"taught",5,0,1.000,0.000,0.917,0.083
"grandmas",2,0,1.000,0.000,0.833,0.167
"nae",3,0,1.000,0.000,0.875,0.125
"it",55,17,0.764,0.236,0.760,0.240
"was",59,15,0.797,0.203,0.793,0.207
"products",15,1,0.938,0.062,0.912,0.088
"embracing",1,0,1.000,0.000,0.750,0.250
"inner",2,1,0.667,0.333,0.625,0.375
"kanye",9,0,1.000,0.000,0.950,0.050
"draw",1,2,0.333,0.667,0.375,0.625
"hand",2,2,0.500,0.500,0.500,0.500
"maybe",3,0,1.000,0.000,0.875,0.125
"can",98,8,0.925,0.075,0.921,0.079
"identify",12,0,1.000,0.000,0.962,0.038
"movies",24,0,1.000,0.000,0.980,0.020
"main",1,1,0.500,0.500,0.500,0.500
"character's",1,0,1.000,0.000,0.750,0.250
"bff",8,0,1.000,0.000,0.944,0.056
"tweets",27,0,1.000,0.000,0.982,0.018
"prove",22,3,0.880,0.120,0.865,0.135
"real",34,5,0.872,0.128,0.862,0.138
"dick",1,1,0.500,0.500,0.500,0.500
"sometimes",2,0,1.000,0.000,0.833,0.167
"badass",9,0,1.000,0.000,0.950,0.050
"lady",8,1,0.889,0.111,0.850,0.150
"valentine",3,1,0.750,0.250,0.700,0.300
