Word,Clickbait,Non-clickbait,Clickbait probability,Non-Clickbait probability,Clickbait normal probability,Non-clickbait normal probability
"yourself",11,0,1.000,0.000,0.958,0.042
"32",9,2,0.818,0.182,0.792,0.208
"cute",25,0,1.000,0.000,0.981,0.019
"things",264,2,0.992,0.008,0.991,0.009
"distract",1,0,1.000,0.000,0.750,0.250
"from",222,139,0.615,0.385,0.615,0.385
"your",635,13,0.980,0.020,0.979,0.021
"awkward",19,1,0.950,0.050,0.929,0.071
"thanksgiving",29,0,1.000,0.000,0.983,0.017
"if",122,2,0.984,0.016,0.980,0.020
"disney",54,2,0.964,0.036,0.956,0.044
"princesses",11,0,1.000,0.000,0.958,0.042
"were",82,5,0.943,0.057,0.938,0.062
"florida",1,19,0.050,0.950,0.071,0.929
"what's",47,0,1.000,0.000,0.990,0.010
"quote",11,0,1.000,0.000,0.958,0.042
"or",113,20,0.850,0.150,0.847,0.153
"lyric",3,0,1.000,0.000,0.875,0.125
"that",461,35,0.929,0.071,0.929,0.071
"best",125,4,0.969,0.031,0.965,0.035
"describes",3,1,0.750,0.250,0.700,0.300
"depression",16,3,0.842,0.158,0.825,0.175
"natalie",3,0,1.000,0.000,0.875,0.125
"dormer",3,0,1.000,0.000,0.875,0.125
"and",428,314,0.577,0.423,0.577,0.423
"sam",2,0,1.000,0.000,0.833,0.167
"claflin",1,0,1.000,0.000,0.750,0.250
"play",18,6,0.750,0.250,0.740,0.260
"game",54,25,0.684,0.316,0.681,0.319
"see",47,3,0.940,0.060,0.931,0.069
"they'd",1,0,1.000,0.000,0.750,0.250
"actually",168,0,1.000,0.000,0.997,0.003
"last",27,10,0.730,0.270,0.724,0.276
"hunger",5,3,0.625,0.375,0.611,0.389
"games",11,15,0.423,0.577,0.426,0.574
"16",69,3,0.958,0.042,0.952,0.048
"responses",3,0,1.000,0.000,0.875,0.125
"indian",19,16,0.543,0.457,0.542,0.458
"patriarchy",3,0,1.000,0.000,0.875,0.125
"21",179,5,0.973,0.027,0.970,0.030
"times",133,9,0.937,0.063,0.934,0.066
"died",6,4,0.600,0.400,0.591,0.409
"during",32,20,0.615,0.385,0.613,0.387
"captain",2,2,0.500,0.500,0.500,0.500
"america:",2,0,1.000,0.000,0.833,0.167
"civil",2,7,0.222,0.778,0.250,0.750
"war",3,32,0.086,0.914,0.097,0.903
"teaser",2,0,1.000,0.000,0.833,0.167
"17",194,7,0.965,0.035,0.963,0.037
"kourtney",2,0,1.000,0.000,0.833,0.167
"kardashian",15,0,1.000,0.000,0.969,0.031
"shut",7,8,0.467,0.533,0.469,0.531
"down",14,36,0.280,0.720,0.284,0.716
"her",87,9,0.906,0.094,0.902,0.098
"own",20,4,0.833,0.167,0.820,0.180
"family",20,15,0.571,0.429,0.569,0.431
"does",12,4,0.750,0.250,0.735,0.265
"coffee",10,1,0.909,0.091,0.875,0.125
"make",207,12,0.945,0.055,0.943,0.057
"poop",1,0,1.000,0.000,0.750,0.250
"who",265,20,0.930,0.070,0.928,0.072
"ex",5,0,1.000,0.000,0.917,0.083
"based",165,3,0.982,0.018,0.979,0.021
"zodiac",71,0,1.000,0.000,0.993,0.007
"hairdresser",2,0,1.000,0.000,0.833,0.167
"struggles",28,5,0.848,0.152,0.838,0.162
"every",98,0,1.000,0.000,0.995,0.005
"black",32,3,0.914,0.086,0.903,0.097
"girl",36,7,0.837,0.163,0.830,0.170
"knows",8,2,0.800,0.200,0.773,0.227
"be",142,68,0.676,0.324,0.675,0.325
"true",26,0,1.000,0.000,0.981,0.019
"are",519,38,0.932,0.068,0.931,0.069
"more",80,55,0.593,0.407,0.592,0.408
"walter",1,0,1.000,0.000,0.750,0.250
"white",9,14,0.391,0.609,0.396,0.604
"heisenberg",1,0,1.000,0.000,0.750,0.250
"most",116,7,0.943,0.057,0.940,0.060
"canadian",17,36,0.321,0.679,0.324,0.676
"groom",5,0,1.000,0.000,0.917,0.083
"ever",85,3,0.966,0.034,0.961,0.039
"left",2,3,0.400,0.600,0.417,0.583
"his",86,30,0.741,0.259,0.739,0.261
"wedding",31,0,1.000,0.000,0.984,0.016
"plow",1,0,1.000,0.000,0.750,0.250
"out",95,43,0.688,0.312,0.687,0.313
"guests",3,0,1.000,0.000,0.875,0.125
"snow",2,1,0.667,0.333,0.625,0.375
"storm",4,17,0.190,0.810,0.205,0.795
"here's",110,0,1.000,0.000,0.995,0.005
"one",73,44,0.624,0.376,0.623,0.377
"really",72,0,1.000,0.000,0.993,0.007
"weird",20,0,1.000,0.000,0.976,0.024
"thing",41,0,1.000,0.000,0.988,0.012
"about",270,32,0.894,0.106,0.893,0.107
"butterfree",1,0,1.000,0.000,0.750,0.250
"15",95,10,0.905,0.095,0.901,0.099
"resolutions",4,0,1.000,0.000,0.900,0.100
"good",24,6,0.800,0.200,0.790,0.210
"2016",41,0,1.000,0.000,0.988,0.012
"what",303,6,0.981,0.019,0.979,0.021
"try",51,8,0.864,0.136,0.858,0.142
"zoo",3,2,0.600,0.400,0.583,0.417
"animals",19,3,0.864,0.136,0.848,0.152
"around",13,11,0.542,0.458,0.540,0.460
"world",42,68,0.382,0.618,0.383,0.617
"opening",1,5,0.167,0.833,0.214,0.786
"christmas",71,6,0.922,0.078,0.917,0.083
"presents",2,1,0.667,0.333,0.625,0.375
"early",8,12,0.400,0.600,0.405,0.595
"tell",46,3,0.939,0.061,0.930,0.070
"us",54,168,0.243,0.757,0.244,0.756
"yourself(ie):",9,0,1.000,0.000,0.950,0.050
"erica",1,0,1.000,0.000,0.750,0.250
"ash",1,1,0.500,0.500,0.500,0.500
"9",22,6,0.786,0.214,0.776,0.224
"cried",3,0,1.000,0.000,0.875,0.125
"vegetarian",4,0,1.000,0.000,0.900,0.100
"dump",4,1,0.800,0.200,0.750,0.250
"dinners",12,0,1.000,0.000,0.962,0.038
"for",355,467,0.432,0.568,0.432,0.568
"crock",3,0,1.000,0.000,0.875,0.125
"pot",3,0,1.000,0.000,0.875,0.125
"goat",1,0,1.000,0.000,0.750,0.250
"has",88,26,0.772,0.228,0.770,0.230
"been",29,5,0.853,0.147,0.843,0.157
"bullying",2,1,0.667,0.333,0.625,0.375
"tiger",1,3,0.250,0.750,0.300,0.700
"8",22,10,0.688,0.312,0.682,0.318
"fall",42,14,0.750,0.250,0.746,0.254
"shows",16,19,0.457,0.543,0.458,0.542
"excited",4,0,1.000,0.000,0.900,0.100
"10",31,11,0.738,0.262,0.733,0.267
"chance",3,5,0.375,0.625,0.389,0.611
"6",7,8,0.467,0.533,0.469,0.531
"avoid",2,4,0.333,0.667,0.357,0.643
"another",5,14,0.263,0.737,0.275,0.725
"round",4,11,0.267,0.733,0.281,0.719
"episode",16,1,0.941,0.059,0.917,0.083
"25:",1,0,1.000,0.000,0.750,0.250
"stop",22,8,0.733,0.267,0.726,0.274
"telling",1,1,0.500,0.500,0.500,0.500
"women",55,16,0.775,0.225,0.771,0.229
"smile",7,1,0.875,0.125,0.833,0.167
"signs",21,16,0.568,0.432,0.566,0.434
"too",67,7,0.905,0.095,0.900,0.100
"stubborn",1,0,1.000,0.000,0.750,0.250
"live",31,5,0.861,0.139,0.851,0.149
"country",7,3,0.700,0.300,0.682,0.318
"singer",2,10,0.167,0.833,0.192,0.808
"makes",11,16,0.407,0.593,0.411,0.589
"music",33,15,0.688,0.312,0.684,0.316
"boy",7,4,0.636,0.364,0.625,0.375
"spare",1,1,0.500,0.500,0.500,0.500
"time",92,20,0.821,0.179,0.819,0.181
"when",109,6,0.948,0.052,0.944,0.056
"realize",3,0,1.000,0.000,0.875,0.125
"guy",30,0,1.000,0.000,0.984,0.016
"taken",4,4,0.500,0.500,0.500,0.500
"awesome",19,0,1.000,0.000,0.975,0.025
"look",54,6,0.900,0.100,0.893,0.107
"at",138,271,0.337,0.663,0.338,0.662
"behind-the-scenes",3,0,1.000,0.000,0.875,0.125
"concept",1,0,1.000,0.000,0.750,0.250
"art",10,3,0.769,0.231,0.750,0.250
"aladdin",3,0,1.000,0.000,0.875,0.125
"sarah",6,0,1.000,0.000,0.929,0.071
"jessica",8,0,1.000,0.000,0.944,0.056
"parker",2,0,1.000,0.000,0.833,0.167
"talks",3,22,0.120,0.880,0.135,0.865
"being",53,8,0.869,0.131,0.863,0.137
"carrie",3,0,1.000,0.000,0.875,0.125
"hocus",3,0,1.000,0.000,0.875,0.125
"pocus",3,0,1.000,0.000,0.875,0.125
"love",79,0,1.000,0.000,0.994,0.006
"type",11,0,1.000,0.000,0.958,0.042
"swearer",1,0,1.000,0.000,0.750,0.250
"dad",24,1,0.960,0.040,0.942,0.058
"recorded",3,1,0.750,0.250,0.700,0.300
"all",147,17,0.896,0.104,0.894,0.106
"adorable",34,0,1.000,0.000,0.986,0.014
"questions",63,7,0.900,0.100,0.894,0.106
"son",8,5,0.615,0.385,0.607,0.393
"asked",18,1,0.947,0.053,0.925,0.075
"watching",11,0,1.000,0.000,0.958,0.042
"wars",30,2,0.938,0.062,0.924,0.076
"first",65,78,0.455,0.545,0.455,0.545
"29",28,2,0.933,0.067,0.919,0.081
"impossibly",5,0,1.000,0.000,0.917,0.083
"stylish",5,0,1.000,0.000,0.917,0.083
"cat",28,2,0.933,0.067,0.919,0.081
"gifts",45,0,1.000,0.000,0.989,0.011
"order",3,7,0.300,0.700,0.318,0.682
"awesomeness",1,0,1.000,0.000,0.750,0.250
"13",65,10,0.867,0.133,0.862,0.138
"glorious",3,2,0.600,0.400,0.583,0.417
"made-up",1,0,1.000,0.000,0.750,0.250
"words",30,3,0.909,0.091,0.897,0.103
"literature",5,0,1.000,0.000,0.917,0.083
"we",223,1,0.996,0.004,0.993,0.007
"pranked",6,0,1.000,0.000,0.929,0.071
"bunch",8,0,1.000,0.000,0.944,0.056
"people",247,25,0.908,0.092,0.907,0.093
"by",83,140,0.372,0.628,0.373,0.627
"dropping",1,2,0.333,0.667,0.375,0.625
"iphone",6,8,0.429,0.571,0.433,0.567
"front",3,1,0.750,0.250,0.700,0.300
"them",22,3,0.880,0.120,0.865,0.135
"23",114,3,0.974,0.026,0.970,0.030
"flaws",2,1,0.667,0.333,0.625,0.375
"sneakerhead",1,0,1.000,0.000,0.750,0.250
"know",221,2,0.991,0.009,0.989,0.011
"sign",65,8,0.890,0.110,0.885,0.115
"choose",9,3,0.750,0.250,0.731,0.269
"grimes",1,0,1.000,0.000,0.750,0.250
"album",12,3,0.800,0.200,0.781,0.219
"heartbreaking",9,1,0.900,0.100,0.864,0.136
"inspiration",2,0,1.000,0.000,0.833,0.167
"behind",8,7,0.533,0.467,0.531,0.469
"oblivion",1,0,1.000,0.000,0.750,0.250
"instagram",31,0,1.000,0.000,0.984,0.016
"account",7,0,1.000,0.000,0.938,0.062
"recreating",1,0,1.000,0.000,0.750,0.250
"2015's",2,0,1.000,0.000,0.833,0.167
"greatest",11,1,0.917,0.083,0.885,0.115
"hits",3,20,0.130,0.870,0.146,0.854
"barbies",1,0,1.000,0.000,0.750,0.250
"22",69,2,0.972,0.028,0.965,0.035
"adele",13,0,1.000,0.000,0.964,0.036
"memes",14,0,1.000,0.000,0.967,0.033
"pictures",67,1,0.985,0.015,0.978,0.022
"hot",32,1,0.970,0.030,0.956,0.044
"will",330,35,0.904,0.096,0.903,0.097
"never",54,2,0.964,0.036,0.956,0.044
"understand",68,0,1.000,0.000,0.993,0.007
"badly",1,1,0.500,0.500,0.500,0.500
"taking",11,3,0.786,0.214,0.767,0.233
"direction",8,1,0.889,0.111,0.850,0.150
"hiatus",1,0,1.000,0.000,0.750,0.250
"want",51,5,0.911,0.089,0.904,0.096
"guys",24,0,1.000,0.000,0.980,0.020
"pinterest",5,0,1.000,0.000,0.917,0.083
"leaf",1,0,1.000,0.000,0.750,0.250
"hacks",9,0,1.000,0.000,0.950,0.050
"tips",10,1,0.909,0.091,0.875,0.125
"hiking",1,0,1.000,0.000,0.750,0.250
"kids",46,1,0.979,0.021,0.969,0.031
"parent",3,1,0.750,0.250,0.700,0.300
"scariest",1,0,1.000,0.000,0.750,0.250
"halloween",61,0,1.000,0.000,0.992,0.008
"candy",12,0,1.000,0.000,0.962,0.038
"taste",8,0,1.000,0.000,0.944,0.056
"test",32,21,0.604,0.396,0.602,0.398
"dog",30,6,0.833,0.167,0.824,0.176
"begging",1,0,1.000,0.000,0.750,0.250
"human's",1,0,1.000,0.000,0.750,0.250
"forgiveness",1,0,1.000,0.000,0.750,0.250
"cutest",9,0,1.000,0.000,0.950,0.050
"you'll",68,0,1.000,0.000,0.993,0.007
"today",22,6,0.786,0.214,0.776,0.224
"100",13,10,0.565,0.435,0.562,0.438
"years",23,27,0.460,0.540,0.461,0.539
"bollywood",5,1,0.833,0.167,0.786,0.214
"cinema",2,1,0.667,0.333,0.625,0.375
"under",9,13,0.409,0.591,0.413,0.587
"four",9,20,0.310,0.690,0.317,0.683
"minutes",8,2,0.800,0.200,0.773,0.227
"ed",7,2,0.778,0.222,0.750,0.250
"westwick",1,0,1.000,0.000,0.750,0.250
"showed",2,0,1.000,0.000,0.833,0.167
"up",96,48,0.667,0.333,0.666,0.334
"emmys",7,0,1.000,0.000,0.938,0.062
"party",17,24,0.415,0.585,0.417,0.583
"looking",9,7,0.562,0.438,0.559,0.441
"like",116,6,0.951,0.049,0.947,0.053
"chuck",1,1,0.500,0.500,0.500,0.500
"bass",1,0,1.000,0.000,0.750,0.250
"dreams",7,1,0.875,0.125,0.833,0.167
"favorite",73,2,0.973,0.027,0.967,0.033
"activity",1,2,0.333,0.667,0.375,0.625
"visiting",2,2,0.500,0.500,0.500,0.500
"take",34,22,0.607,0.393,0.605,0.395
"color",20,1,0.952,0.048,0.932,0.068
"far",9,1,0.900,0.100,0.864,0.136
"you'd",5,0,1.000,0.000,0.917,0.083
"go",26,13,0.667,0.333,0.662,0.338
"brave",3,0,1.000,0.000,0.875,0.125
"enough",2,4,0.333,0.667,0.357,0.643
"date",23,3,0.885,0.115,0.870,0.130
"werewolf",2,0,1.000,0.000,0.833,0.167
"18",94,5,0.949,0.051,0.945,0.055
"everyone",69,1,0.986,0.014,0.979,0.021
"hates",6,0,1.000,0.000,0.929,0.071
"pda",1,0,1.000,0.000,0.750,0.250
"27",55,3,0.948,0.052,0.941,0.059
"always",16,1,0.941,0.059,0.917,0.083
"happen",27,0,1.000,0.000,0.982,0.018
"office",10,7,0.588,0.412,0.583,0.417
"many",23,11,0.676,0.324,0.671,0.329
"these",175,1,0.994,0.006,0.992,0.008
"spongebob",3,0,1.000,0.000,0.875,0.125
"faces",15,22,0.405,0.595,0.408,0.592
"recognize",8,0,1.000,0.000,0.944,0.056
"golden",11,0,1.000,0.000,0.958,0.042
"globe",4,2,0.667,0.333,0.643,0.357
"reaction",7,3,0.700,0.300,0.682,0.318
"face",13,10,0.565,0.435,0.562,0.438
"25",42,5,0.894,0.106,0.885,0.115
"reasons",69,1,0.986,0.014,0.979,0.021
"trip",3,6,0.333,0.667,0.350,0.650
"costa",1,3,0.250,0.750,0.300,0.700
"rica",1,1,0.500,0.500,0.500,0.500
"could",21,18,0.538,0.462,0.537,0.463
"change",12,16,0.429,0.571,0.431,0.569
"life",100,13,0.885,0.115,0.882,0.118
"literally",18,0,1.000,0.000,0.974,0.026
"just",92,8,0.920,0.080,0.916,0.084
"46",4,0,1.000,0.000,0.900,0.100
"photos",55,5,0.917,0.083,0.910,0.090
"scotland",6,12,0.333,0.667,0.342,0.658
"sexy",13,0,1.000,0.000,0.964,0.036
"as",67,154,0.303,0.697,0.304,0.696
"hell",8,0,1.000,0.000,0.944,0.056
"58",1,0,1.000,0.000,0.750,0.250
"mildly",5,0,1.000,0.000,0.917,0.083
"annoy",2,0,1.000,0.000,0.833,0.167
"anyone",34,0,1.000,0.000,0.986,0.014
"lives",14,8,0.636,0.364,0.630,0.370
"someone",24,0,1.000,0.000,0.980,0.020
"messy",2,0,1.000,0.000,0.833,0.167
"places",17,1,0.944,0.056,0.921,0.079
"lovers",8,0,1.000,0.000,0.944,0.056
"london",10,41,0.196,0.804,0.202,0.798
"lyrics",30,0,1.000,0.000,0.984,0.016
"hotline",8,0,1.000,0.000,0.944,0.056
"bling",7,0,1.000,0.000,0.938,0.062
"drake",16,0,1.000,0.000,0.971,0.029
"weasley",2,0,1.000,0.000,0.833,0.167
"books",24,1,0.960,0.040,0.942,0.058
"90s",20,0,1.000,0.000,0.976,0.024
"kid",15,0,1.000,0.000,0.969,0.031
"immediately",5,0,1.000,0.000,0.917,0.083
"organisation",1,2,0.333,0.667,0.375,0.625
"trying",9,3,0.750,0.250,0.731,0.269
"launch",1,19,0.050,0.950,0.071,0.929
"india's",6,1,0.857,0.143,0.812,0.188
"transgender",5,1,0.833,0.167,0.786,0.214
"model",12,3,0.800,0.200,0.781,0.219
"agency",1,6,0.143,0.857,0.188,0.812
"request",1,3,0.250,0.750,0.300,0.700
"timeout",1,0,1.000,0.000,0.750,0.250
"issa",1,0,1.000,0.000,0.750,0.250
"rae's",1,0,1.000,0.000,0.750,0.250
"insecure",2,0,1.000,0.000,0.833,0.167
"coming",5,2,0.714,0.286,0.688,0.312
"hbo",3,1,0.750,0.250,0.700,0.300
"long",9,7,0.562,0.438,0.559,0.441
"well",61,2,0.968,0.032,0.961,0.039
"pretty",23,0,1.000,0.000,0.979,0.021
"little",31,9,0.775,0.225,0.768,0.232
"liars",3,0,1.000,0.000,0.875,0.125
"you've",34,0,1.000,0.000,0.986,0.014
"using",9,11,0.450,0.550,0.452,0.548
"rice",5,0,1.000,0.000,0.917,0.083
"cooker",7,0,1.000,0.000,0.938,0.062
"wrong",15,1,0.938,0.062,0.912,0.088
"entire",6,0,1.000,0.000,0.929,0.071
"no",31,21,0.596,0.404,0.594,0.406
"actors",7,0,1.000,0.000,0.938,0.062
"nominated",1,2,0.333,0.667,0.375,0.625
"oscar",7,1,0.875,0.125,0.833,0.167
"year",46,22,0.676,0.324,0.674,0.326
"pissed",1,0,1.000,0.000,0.750,0.250
"totally",36,0,1.000,0.000,0.986,0.014
"nailed",5,0,1.000,0.000,0.917,0.083
"modern",2,2,0.500,0.500,0.500,0.500
"day",49,40,0.551,0.449,0.550,0.450
"would",68,4,0.944,0.056,0.938,0.062
"easy",31,2,0.939,0.061,0.926,0.074
"delicious",32,0,1.000,0.000,0.985,0.015
"one-pan",1,0,1.000,0.000,0.750,0.250
"breakfasts",6,0,1.000,0.000,0.929,0.071
"tried",25,2,0.926,0.074,0.911,0.089
"magic",5,1,0.833,0.167,0.786,0.214
"wands",2,0,1.000,0.000,0.833,0.167
"happened",30,0,1.000,0.000,0.984,0.016
"charli",1,0,1.000,0.000,0.750,0.250
"xcx",1,0,1.000,0.000,0.750,0.250
"looked",19,0,1.000,0.000,0.975,0.025
"space",9,19,0.321,0.679,0.328,0.672
"dominatrix",1,0,1.000,0.000,0.750,0.250
"mtv",6,3,0.667,0.333,0.650,0.350
"emas",5,0,1.000,0.000,0.917,0.083
"avengers",2,0,1.000,0.000,0.833,0.167
"they",43,2,0.956,0.044,0.946,0.054
"originally",1,0,1.000,0.000,0.750,0.250
"comics",6,0,1.000,0.000,0.929,0.071
"urinals",1,1,0.500,0.500,0.500,0.500
"worst",33,1,0.971,0.029,0.957,0.043
"human",7,9,0.438,0.562,0.441,0.559
"invention",1,0,1.000,0.000,0.750,0.250
"free",6,10,0.375,0.625,0.382,0.618
"car",4,26,0.133,0.867,0.145,0.855
"oprah",4,3,0.571,0.429,0.562,0.438
"tub",2,0,1.000,0.000,0.833,0.167
"vaseline",1,0,1.000,0.000,0.750,0.250
"tyra",1,0,1.000,0.000,0.750,0.250
"28",17,5,0.773,0.227,0.761,0.239
"crimes",1,5,0.167,0.833,0.214,0.786
"committed",1,1,0.500,0.500,0.500,0.500
"19",137,5,0.965,0.035,0.962,0.038
"beautiful",23,1,0.958,0.042,0.940,0.060
"feels",13,1,0.929,0.071,0.900,0.100
"rid",3,0,1.000,0.000,0.875,0.125
"acne",1,0,1.000,0.000,0.750,0.250
"over",25,122,0.170,0.830,0.172,0.828
"body",13,8,0.619,0.381,0.614,0.386
"24-year-old",1,0,1.000,0.000,0.750,0.250
"got",47,2,0.959,0.041,0.950,0.050
"drunk",17,0,1.000,0.000,0.972,0.028
"accidentally",3,1,0.750,0.250,0.700,0.300
"booked",1,0,1.000,0.000,0.750,0.250
"insane",15,0,1.000,0.000,0.969,0.031
"vacation",3,1,0.750,0.250,0.700,0.300
"going",25,4,0.862,0.138,0.850,0.150
"buy",8,10,0.444,0.556,0.447,0.553
"leona",1,0,1.000,0.000,0.750,0.250
"lewis's",1,0,1.000,0.000,0.750,0.250
"exclusive",1,0,1.000,0.000,0.750,0.250
"grindr",1,0,1.000,0.000,0.750,0.250
"24",51,7,0.879,0.121,0.873,0.127
"desserts",8,0,1.000,0.000,0.944,0.056
"aren't",13,0,1.000,0.000,0.964,0.036
"pie",3,0,1.000,0.000,0.875,0.125
"jason",4,2,0.667,0.333,0.643,0.357
"aldean",1,0,1.000,0.000,0.750,0.250
"wore",8,0,1.000,0.000,0.944,0.056
"blackface",2,0,1.000,0.000,0.833,0.167
"dress",13,0,1.000,0.000,0.964,0.036
"lil",4,0,1.000,0.000,0.900,0.100
"wayne",1,1,0.500,0.500,0.500,0.500
"college",26,4,0.867,0.133,0.855,0.145
"sucked",3,0,1.000,0.000,0.875,0.125
"hardest",9,0,1.000,0.000,0.950,0.050
"america's",4,2,0.667,0.333,0.643,0.357
"next",23,7,0.767,0.233,0.758,0.242
"top",8,21,0.276,0.724,0.283,0.717
"quiz",25,0,1.000,0.000,0.981,0.019
"determine",22,0,1.000,0.000,0.978,0.022
"masturbate",2,0,1.000,0.000,0.833,0.167
"42",7,2,0.778,0.222,0.750,0.250
"romantic",6,1,0.857,0.143,0.812,0.188
"lines",6,1,0.857,0.143,0.812,0.188
"ya",6,0,1.000,0.000,0.929,0.071
"reporter",5,7,0.417,0.583,0.423,0.577
"responded",5,0,1.000,0.000,0.917,0.083
"vulgar",1,0,1.000,0.000,0.750,0.250
"comment",5,0,1.000,0.000,0.917,0.083
"mama",1,0,1.000,0.000,0.750,0.250
"joke",2,1,0.667,0.333,0.625,0.375
"smooth",1,0,1.000,0.000,0.750,0.250
"af",31,0,1.000,0.000,0.984,0.016
"bart",1,0,1.000,0.000,0.750,0.250
"lisa",3,0,1.000,0.000,0.875,0.125
"compatible",3,0,1.000,0.000,0.875,0.125
"remember",46,1,0.979,0.021,0.969,0.031
"vampire",4,0,1.000,0.000,0.900,0.100
"diaries",1,0,1.000,0.000,0.750,0.250
"murder",5,22,0.185,0.815,0.196,0.804
"house",21,31,0.404,0.596,0.406,0.594
"sabrina",1,0,1.000,0.000,0.750,0.250
"teenage",3,1,0.750,0.250,0.700,0.300
"witch",4,0,1.000,0.000,0.900,0.100
"12",47,9,0.839,0.161,0.833,0.167
"grew",12,2,0.857,0.143,0.833,0.167
"san",4,14,0.222,0.778,0.237,0.763
"francisco",3,6,0.333,0.667,0.350,0.650
"say",24,23,0.511,0.489,0.510,0.490
"chronic",1,0,1.000,0.000,0.750,0.250
"pain",3,3,0.500,0.500,0.500,0.500
"hear",10,0,1.000,0.000,0.955,0.045
"amazing",37,1,0.974,0.026,0.962,0.038
"bodycon",1,0,1.000,0.000,0.750,0.250
"looks",38,14,0.731,0.269,0.726,0.274
"wanna",1,0,1.000,0.000,0.750,0.250
"rock",14,3,0.824,0.176,0.806,0.194
"there's",8,0,1.000,0.000,0.944,0.056
"beauty",25,2,0.926,0.074,0.911,0.089
"box",3,2,0.600,0.400,0.583,0.417
"catering",1,0,1.000,0.000,0.750,0.250
"taught",8,1,0.889,0.111,0.850,0.150
"grandmas",4,0,1.000,0.000,0.900,0.100
"nae",3,0,1.000,0.000,0.875,0.125
"it",111,39,0.740,0.260,0.738,0.262
"was",126,20,0.863,0.137,0.861,0.139
"products",29,3,0.906,0.094,0.894,0.106
"embracing",1,1,0.500,0.500,0.500,0.500
"inner",3,3,0.500,0.500,0.500,0.500
"kanye",14,0,1.000,0.000,0.967,0.033
"draw",2,4,0.333,0.667,0.357,0.643
"hand",6,4,0.600,0.400,0.591,0.409
"maybe",3,0,1.000,0.000,0.875,0.125
"can",205,14,0.936,0.064,0.934,0.066
"identify",24,2,0.923,0.077,0.907,0.093
"movies",38,0,1.000,0.000,0.987,0.013
"main",1,5,0.167,0.833,0.214,0.786
"character's",1,0,1.000,0.000,0.750,0.250
"bff",13,0,1.000,0.000,0.964,0.036
"tweets",55,0,1.000,0.000,0.991,0.009
"prove",34,3,0.919,0.081,0.908,0.092
"real",69,7,0.908,0.092,0.903,0.097
"dick",2,2,0.500,0.500,0.500,0.500
"sometimes",2,0,1.000,0.000,0.833,0.167
"badass",11,0,1.000,0.000,0.958,0.042
"lady",12,2,0.857,0.143,0.833,0.167
"valentine",4,1,0.800,0.200,0.750,0.250
