Word,Clickbait,Non-clickbait,Clickbait probability,Non-Clickbait probability,Clickbait normal probability,Non-clickbait normal probability
"who",35,2,0.946,0.054,0.934,0.066
"ex",1,0,1.000,0.000,0.750,0.250
"based",23,0,1.000,0.000,0.979,0.021
"zodiac",12,0,1.000,0.000,0.962,0.038
"hairdresser",1,0,1.000,0.000,0.750,0.250
"struggles",4,0,1.000,0.000,0.900,0.100
"every",16,0,1.000,0.000,0.971,0.029
"black",6,0,1.000,0.000,0.929,0.071
"girl",4,1,0.800,0.200,0.750,0.250
"knows",1,0,1.000,0.000,0.750,0.250
"be",22,6,0.786,0.214,0.776,0.224
"true",2,0,1.000,0.000,0.833,0.167
"are",79,3,0.963,0.037,0.958,0.042
"more",11,7,0.611,0.389,0.605,0.395
"walter",1,0,1.000,0.000,0.750,0.250
"white",2,3,0.400,0.600,0.417,0.583
"heisenberg",1,0,1.000,0.000,0.750,0.250
"most",18,0,1.000,0.000,0.974,0.026
"canadian",2,3,0.400,0.600,0.417,0.583
"groom",1,0,1.000,0.000,0.750,0.250
"ever",11,0,1.000,0.000,0.958,0.042
"left",1,0,1.000,0.000,0.750,0.250
"his",15,4,0.789,0.211,0.775,0.225
"wedding",5,0,1.000,0.000,0.917,0.083
"plow",1,0,1.000,0.000,0.750,0.250
"out",9,6,0.600,0.400,0.594,0.406
"guests",1,0,1.000,0.000,0.750,0.250
"snow",1,0,1.000,0.000,0.750,0.250
"storm",1,2,0.333,0.667,0.375,0.625
"here's",21,0,1.000,0.000,0.977,0.023
"one",6,8,0.429,0.571,0.433,0.567
"really",10,0,1.000,0.000,0.955,0.045
"weird",4,0,1.000,0.000,0.900,0.100
"thing",6,0,1.000,0.000,0.929,0.071
"about",34,4,0.895,0.105,0.885,0.115
"butterfree",1,0,1.000,0.000,0.750,0.250
"15",15,0,1.000,0.000,0.969,0.031
"resolutions",1,0,1.000,0.000,0.750,0.250
"good",4,1,0.800,0.200,0.750,0.250
"2016",8,0,1.000,0.000,0.944,0.056
"what",42,1,0.977,0.023,0.966,0.034
"try",8,2,0.800,0.200,0.773,0.227
"zoo",1,0,1.000,0.000,0.750,0.250
"animals",1,0,1.000,0.000,0.750,0.250
"around",2,3,0.400,0.600,0.417,0.583
"world",6,7,0.462,0.538,0.464,0.536
"opening",1,2,0.333,0.667,0.375,0.625
"christmas",6,0,1.000,0.000,0.929,0.071
"presents",1,0,1.000,0.000,0.750,0.250
"early",1,2,0.333,0.667,0.375,0.625
"tell",9,0,1.000,0.000,0.950,0.050
"us",9,19,0.321,0.679,0.328,0.672
"yourself(ie):",1,0,1.000,0.000,0.750,0.250
"erica",1,0,1.000,0.000,0.750,0.250
"ash",1,0,1.000,0.000,0.750,0.250
"9",2,1,0.667,0.333,0.625,0.375
"cried",1,0,1.000,0.000,0.750,0.250
"vegetarian",2,0,1.000,0.000,0.833,0.167
"dump",1,0,1.000,0.000,0.750,0.250
"dinners",2,0,1.000,0.000,0.833,0.167
"for",41,46,0.471,0.529,0.472,0.528
"crock",1,0,1.000,0.000,0.750,0.250
"pot",1,0,1.000,0.000,0.750,0.250
"goat",1,0,1.000,0.000,0.750,0.250
"has",15,5,0.750,0.250,0.738,0.262
"been",5,0,1.000,0.000,0.917,0.083
"bullying",1,0,1.000,0.000,0.750,0.250
"tiger",1,0,1.000,0.000,0.750,0.250
"8",3,1,0.750,0.250,0.700,0.300
"fall",4,1,0.800,0.200,0.750,0.250
"shows",2,2,0.500,0.500,0.500,0.500
"excited",1,0,1.000,0.000,0.750,0.250
"10",2,2,0.500,0.500,0.500,0.500
"chance",2,0,1.000,0.000,0.833,0.167
"6",3,3,0.500,0.500,0.500,0.500
"avoid",1,0,1.000,0.000,0.750,0.250
"another",1,3,0.250,0.750,0.300,0.700
"round",1,1,0.500,0.500,0.500,0.500
"episode",6,1,0.857,0.143,0.812,0.188
"25:",1,0,1.000,0.000,0.750,0.250
"stop",2,1,0.667,0.333,0.625,0.375
"telling",1,0,1.000,0.000,0.750,0.250
"women",4,3,0.571,0.429,0.562,0.438
"smile",1,0,1.000,0.000,0.750,0.250
"signs",3,1,0.750,0.250,0.700,0.300
"too",12,1,0.923,0.077,0.893,0.107
"stubborn",1,0,1.000,0.000,0.750,0.250
"live",3,2,0.600,0.400,0.583,0.417
"country",3,1,0.750,0.250,0.700,0.300
"singer",2,4,0.333,0.667,0.357,0.643
"makes",4,3,0.571,0.429,0.562,0.438
"music",6,4,0.600,0.400,0.591,0.409
"boy",3,1,0.750,0.250,0.700,0.300
"spare",1,0,1.000,0.000,0.750,0.250
"time",12,3,0.800,0.200,0.781,0.219
"when",14,1,0.933,0.067,0.906,0.094
"realize",2,0,1.000,0.000,0.833,0.167
"guy",5,0,1.000,0.000,0.917,0.083
"taken",1,0,1.000,0.000,0.750,0.250
"awesome",2,0,1.000,0.000,0.833,0.167
"look",4,0,1.000,0.000,0.900,0.100
"at",12,38,0.240,0.760,0.245,0.755
"behind-the-scenes",1,0,1.000,0.000,0.750,0.250
"concept",1,0,1.000,0.000,0.750,0.250
"art",1,0,1.000,0.000,0.750,0.250
"aladdin",2,0,1.000,0.000,0.833,0.167
"sarah",1,0,1.000,0.000,0.750,0.250
"jessica",1,0,1.000,0.000,0.750,0.250
"parker",1,0,1.000,0.000,0.750,0.250
"talks",1,1,0.500,0.500,0.500,0.500
"being",6,0,1.000,0.000,0.929,0.071
"carrie",1,0,1.000,0.000,0.750,0.250
"hocus",1,0,1.000,0.000,0.750,0.250
"pocus",1,0,1.000,0.000,0.750,0.250
"love",9,0,1.000,0.000,0.950,0.050
"type",3,0,1.000,0.000,0.875,0.125
"swearer",1,0,1.000,0.000,0.750,0.250
"dad",4,0,1.000,0.000,0.900,0.100
"recorded",2,0,1.000,0.000,0.833,0.167
"all",20,2,0.909,0.091,0.891,0.109
"adorable",3,0,1.000,0.000,0.875,0.125
"questions",9,1,0.900,0.100,0.864,0.136
"son",1,1,0.500,0.500,0.500,0.500
"asked",3,0,1.000,0.000,0.875,0.125
"watching",2,0,1.000,0.000,0.833,0.167
"wars",3,0,1.000,0.000,0.875,0.125
"first",6,9,0.400,0.600,0.406,0.594
"29",3,0,1.000,0.000,0.875,0.125
"impossibly",1,0,1.000,0.000,0.750,0.250
"stylish",1,0,1.000,0.000,0.750,0.250
"cat",5,1,0.833,0.167,0.786,0.214
"gifts",3,0,1.000,0.000,0.875,0.125
"order",2,0,1.000,0.000,0.833,0.167
"awesomeness",1,0,1.000,0.000,0.750,0.250
"13",8,2,0.800,0.200,0.773,0.227
"glorious",3,0,1.000,0.000,0.875,0.125
"made-up",1,0,1.000,0.000,0.750,0.250
"words",7,1,0.875,0.125,0.833,0.167
"literature",2,0,1.000,0.000,0.833,0.167
"we",27,0,1.000,0.000,0.982,0.018
"pranked",1,0,1.000,0.000,0.750,0.250
"bunch",2,0,1.000,0.000,0.833,0.167
"people",35,2,0.946,0.054,0.934,0.066
"by",7,14,0.333,0.667,0.341,0.659
"dropping",1,1,0.500,0.500,0.500,0.500
"iphone",1,0,1.000,0.000,0.750,0.250
"front",2,0,1.000,0.000,0.833,0.167
"them",2,0,1.000,0.000,0.833,0.167
"23",10,0,1.000,0.000,0.955,0.045
"flaws",1,0,1.000,0.000,0.750,0.250
"sneakerhead",1,0,1.000,0.000,0.750,0.250
"know",27,1,0.964,0.036,0.948,0.052
"sign",9,0,1.000,0.000,0.950,0.050
"choose",1,0,1.000,0.000,0.750,0.250
"grimes",1,0,1.000,0.000,0.750,0.250
"album",2,1,0.667,0.333,0.625,0.375
"heartbreaking",1,0,1.000,0.000,0.750,0.250
"inspiration",1,0,1.000,0.000,0.750,0.250
"behind",2,2,0.500,0.500,0.500,0.500
"oblivion",1,0,1.000,0.000,0.750,0.250
"instagram",5,0,1.000,0.000,0.917,0.083
"account",2,0,1.000,0.000,0.833,0.167
"recreating",1,0,1.000,0.000,0.750,0.250
"2015's",2,0,1.000,0.000,0.833,0.167
"greatest",2,0,1.000,0.000,0.833,0.167
"hits",2,4,0.333,0.667,0.357,0.643
"barbies",1,0,1.000,0.000,0.750,0.250
"22",6,0,1.000,0.000,0.929,0.071
"adele",3,0,1.000,0.000,0.875,0.125
"memes",5,0,1.000,0.000,0.917,0.083
"pictures",7,0,1.000,0.000,0.937,0.063
"hot",7,0,1.000,0.000,0.937,0.063
"will",36,2,0.947,0.053,0.936,0.064
"never",7,0,1.000,0.000,0.937,0.063
"understand",6,0,1.000,0.000,0.929,0.071
"badly",1,0,1.000,0.000,0.750,0.250
"taking",1,0,1.000,0.000,0.750,0.250
"direction",2,0,1.000,0.000,0.833,0.167
"hiatus",1,0,1.000,0.000,0.750,0.250
"want",6,0,1.000,0.000,0.929,0.071
"guys",4,0,1.000,0.000,0.900,0.100
"pinterest",1,0,1.000,0.000,0.750,0.250
"leaf",1,0,1.000,0.000,0.750,0.250
"hacks",3,0,1.000,0.000,0.875,0.125
"tips",2,0,1.000,0.000,0.833,0.167
"hiking",1,0,1.000,0.000,0.750,0.250
"kids",9,0,1.000,0.000,0.950,0.050
"parent",1,0,1.000,0.000,0.750,0.250
"scariest",1,0,1.000,0.000,0.750,0.250
"halloween",8,0,1.000,0.000,0.944,0.056
"candy",2,0,1.000,0.000,0.833,0.167
"taste",2,0,1.000,0.000,0.833,0.167
"test",7,3,0.700,0.300,0.682,0.318
"dog",3,0,1.000,0.000,0.875,0.125
"begging",1,0,1.000,0.000,0.750,0.250
"human's",1,0,1.000,0.000,0.750,0.250
"forgiveness",1,0,1.000,0.000,0.750,0.250
"cutest",3,0,1.000,0.000,0.875,0.125
"you'll",12,0,1.000,0.000,0.962,0.038
"today",4,0,1.000,0.000,0.900,0.100
"100",2,2,0.500,0.500,0.500,0.500
"years",2,6,0.250,0.750,0.278,0.722
"bollywood",1,1,0.500,0.500,0.500,0.500
"cinema",2,0,1.000,0.000,0.833,0.167
"under",1,2,0.333,0.667,0.375,0.625
"four",5,3,0.625,0.375,0.611,0.389
"minutes",1,0,1.000,0.000,0.750,0.250
"ed",2,1,0.667,0.333,0.625,0.375
"westwick",1,0,1.000,0.000,0.750,0.250
"showed",1,0,1.000,0.000,0.750,0.250
"up",16,8,0.667,0.333,0.660,0.340
"emmys",1,0,1.000,0.000,0.750,0.250
"party",2,3,0.400,0.600,0.417,0.583
"looking",4,0,1.000,0.000,0.900,0.100
"like",16,2,0.889,0.111,0.868,0.132
"chuck",1,0,1.000,0.000,0.750,0.250
"bass",1,0,1.000,0.000,0.750,0.250
"dreams",2,0,1.000,0.000,0.833,0.167
"favorite",7,0,1.000,0.000,0.937,0.063
"activity",1,0,1.000,0.000,0.750,0.250
"visiting",1,1,0.500,0.500,0.500,0.500
"take",5,5,0.500,0.500,0.500,0.500
"color",5,0,1.000,0.000,0.917,0.083
"far",5,0,1.000,0.000,0.917,0.083
"you'd",1,0,1.000,0.000,0.750,0.250
"go",9,2,0.818,0.182,0.792,0.208
"brave",1,0,1.000,0.000,0.750,0.250
"enough",1,3,0.250,0.750,0.300,0.700
"date",2,0,1.000,0.000,0.833,0.167
"werewolf",1,0,1.000,0.000,0.750,0.250
"18",11,1,0.917,0.083,0.885,0.115
"everyone",7,0,1.000,0.000,0.937,0.063
"hates",1,0,1.000,0.000,0.750,0.250
"pda",1,0,1.000,0.000,0.750,0.250
"27",6,1,0.857,0.143,0.812,0.188
"always",5,0,1.000,0.000,0.917,0.083
"happen",3,0,1.000,0.000,0.875,0.125
"office",1,1,0.500,0.500,0.500,0.500
"many",4,0,1.000,0.000,0.900,0.100
"these",24,0,1.000,0.000,0.980,0.020
"spongebob",1,0,1.000,0.000,0.750,0.250
"faces",2,2,0.500,0.500,0.500,0.500
"recognize",3,0,1.000,0.000,0.875,0.125
"golden",2,0,1.000,0.000,0.833,0.167
"globe",2,0,1.000,0.000,0.833,0.167
"reaction",1,0,1.000,0.000,0.750,0.250
"face",2,1,0.667,0.333,0.625,0.375
"25",9,0,1.000,0.000,0.950,0.050
"reasons",6,1,0.857,0.143,0.812,0.188
"trip",1,1,0.500,0.500,0.500,0.500
"costa",1,1,0.500,0.500,0.500,0.500
"rica",1,0,1.000,0.000,0.750,0.250
"could",2,3,0.400,0.600,0.417,0.583
"change",1,0,1.000,0.000,0.750,0.250
"life",14,2,0.875,0.125,0.853,0.147
"literally",3,0,1.000,0.000,0.875,0.125
"just",9,2,0.818,0.182,0.792,0.208
"46",2,0,1.000,0.000,0.833,0.167
"photos",5,0,1.000,0.000,0.917,0.083
"scotland",2,1,0.667,0.333,0.625,0.375
"sexy",2,0,1.000,0.000,0.833,0.167
"as",8,16,0.333,0.667,0.340,0.660
"hell",2,0,1.000,0.000,0.833,0.167
"58",1,0,1.000,0.000,0.750,0.250
"mildly",2,0,1.000,0.000,0.833,0.167
"annoy",1,0,1.000,0.000,0.750,0.250
"anyone",4,0,1.000,0.000,0.900,0.100
"lives",2,1,0.667,0.333,0.625,0.375
"someone",5,0,1.000,0.000,0.917,0.083
"messy",1,0,1.000,0.000,0.750,0.250
"places",4,0,1.000,0.000,0.900,0.100
"lovers",1,0,1.000,0.000,0.750,0.250
"london",2,3,0.400,0.600,0.417,0.583
"lyrics",9,0,1.000,0.000,0.950,0.050
"hotline",1,0,1.000,0.000,0.750,0.250
"bling",1,0,1.000,0.000,0.750,0.250
"drake",4,0,1.000,0.000,0.900,0.100
"weasley",1,0,1.000,0.000,0.750,0.250
"books",4,0,1.000,0.000,0.900,0.100
"90s",2,0,1.000,0.000,0.833,0.167
"kid",2,0,1.000,0.000,0.833,0.167
"immediately",1,0,1.000,0.000,0.750,0.250
"organisation",1,0,1.000,0.000,0.750,0.250
"trying",1,0,1.000,0.000,0.750,0.250
"launch",1,4,0.200,0.800,0.250,0.750
"india's",2,0,1.000,0.000,0.833,0.167
"transgender",1,1,0.500,0.500,0.500,0.500
"model",2,1,0.667,0.333,0.625,0.375
"agency",1,1,0.500,0.500,0.500,0.500
"request",1,0,1.000,0.000,0.750,0.250
"timeout",1,0,1.000,0.000,0.750,0.250
"issa",1,0,1.000,0.000,0.750,0.250
"rae's",1,0,1.000,0.000,0.750,0.250
"insecure",1,0,1.000,0.000,0.750,0.250
"coming",1,1,0.500,0.500,0.500,0.500
"hbo",1,0,1.000,0.000,0.750,0.250
"long",1,0,1.000,0.000,0.750,0.250
"well",10,0,1.000,0.000,0.955,0.045
"pretty",3,0,1.000,0.000,0.875,0.125
"little",4,2,0.667,0.333,0.643,0.357
"liars",1,0,1.000,0.000,0.750,0.250
"you've",4,0,1.000,0.000,0.900,0.100
"using",2,0,1.000,0.000,0.833,0.167
"rice",1,0,1.000,0.000,0.750,0.250
"cooker",3,0,1.000,0.000,0.875,0.125
"wrong",2,0,1.000,0.000,0.833,0.167
"entire",1,0,1.000,0.000,0.750,0.250
"no",6,1,0.857,0.143,0.812,0.188
"actors",1,0,1.000,0.000,0.750,0.250
"nominated",1,0,1.000,0.000,0.750,0.250
"oscar",4,0,1.000,0.000,0.900,0.100
"year",5,2,0.714,0.286,0.687,0.313
"pissed",1,0,1.000,0.000,0.750,0.250
"totally",4,0,1.000,0.000,0.900,0.100
"nailed",1,0,1.000,0.000,0.750,0.250
"modern",1,0,1.000,0.000,0.750,0.250
"day",3,5,0.375,0.625,0.389,0.611
"would",7,0,1.000,0.000,0.937,0.063
"easy",3,0,1.000,0.000,0.875,0.125
"delicious",7,0,1.000,0.000,0.937,0.063
"one-pan",1,0,1.000,0.000,0.750,0.250
"breakfasts",1,0,1.000,0.000,0.750,0.250
"tried",5,0,1.000,0.000,0.917,0.083
"magic",1,0,1.000,0.000,0.750,0.250
"wands",1,0,1.000,0.000,0.750,0.250
"happened",3,0,1.000,0.000,0.875,0.125
"charli",1,0,1.000,0.000,0.750,0.250
"xcx",1,0,1.000,0.000,0.750,0.250
"looked",6,0,1.000,0.000,0.929,0.071
"space",2,4,0.333,0.667,0.357,0.643
"dominatrix",1,0,1.000,0.000,0.750,0.250
"mtv",3,0,1.000,0.000,0.875,0.125
"emas",2,0,1.000,0.000,0.833,0.167
"avengers",1,0,1.000,0.000,0.750,0.250
"they",8,0,1.000,0.000,0.944,0.056
"originally",1,0,1.000,0.000,0.750,0.250
"comics",1,0,1.000,0.000,0.750,0.250
"urinals",1,0,1.000,0.000,0.750,0.250
"worst",6,0,1.000,0.000,0.929,0.071
"human",1,2,0.333,0.667,0.375,0.625
"invention",1,0,1.000,0.000,0.750,0.250
"free",3,1,0.750,0.250,0.700,0.300
"car",1,6,0.143,0.857,0.187,0.813
"oprah",1,0,1.000,0.000,0.750,0.250
"tub",1,0,1.000,0.000,0.750,0.250
"vaseline",1,0,1.000,0.000,0.750,0.250
"tyra",1,0,1.000,0.000,0.750,0.250
"28",2,0,1.000,0.000,0.833,0.167
"crimes",1,2,0.333,0.667,0.375,0.625
"committed",1,0,1.000,0.000,0.750,0.250
"19",18,1,0.947,0.053,0.925,0.075
"beautiful",3,0,1.000,0.000,0.875,0.125
"feels",1,0,1.000,0.000,0.750,0.250
"rid",1,0,1.000,0.000,0.750,0.250
"acne",1,0,1.000,0.000,0.750,0.250
"over",3,12,0.200,0.800,0.219,0.781
"body",2,1,0.667,0.333,0.625,0.375
"24-year-old",1,0,1.000,0.000,0.750,0.250
"got",5,1,0.833,0.167,0.786,0.214
"drunk",1,0,1.000,0.000,0.750,0.250
"accidentally",1,0,1.000,0.000,0.750,0.250
"booked",1,0,1.000,0.000,0.750,0.250
"insane",1,0,1.000,0.000,0.750,0.250
"vacation",1,0,1.000,0.000,0.750,0.250
"going",5,1,0.833,0.167,0.786,0.214
"buy",1,0,1.000,0.000,0.750,0.250
"leona",1,0,1.000,0.000,0.750,0.250
"lewis's",1,0,1.000,0.000,0.750,0.250
"exclusive",1,0,1.000,0.000,0.750,0.250
"grindr",1,0,1.000,0.000,0.750,0.250
"24",9,1,0.900,0.100,0.864,0.136
"desserts",2,0,1.000,0.000,0.833,0.167
"aren't",3,0,1.000,0.000,0.875,0.125
"pie",1,0,1.000,0.000,0.750,0.250
"jason",1,1,0.500,0.500,0.500,0.500
"aldean",1,0,1.000,0.000,0.750,0.250
"wore",2,0,1.000,0.000,0.833,0.167
"blackface",1,0,1.000,0.000,0.750,0.250
"dress",3,0,1.000,0.000,0.875,0.125
"lil",1,0,1.000,0.000,0.750,0.250
"wayne",1,0,1.000,0.000,0.750,0.250
"college",2,0,1.000,0.000,0.833,0.167
"sucked",1,0,1.000,0.000,0.750,0.250
"hardest",2,0,1.000,0.000,0.833,0.167
"america's",1,0,1.000,0.000,0.750,0.250
"next",5,1,0.833,0.167,0.786,0.214
"top",2,3,0.400,0.600,0.417,0.583
"quiz",3,0,1.000,0.000,0.875,0.125
"determine",2,0,1.000,0.000,0.833,0.167
"masturbate",1,0,1.000,0.000,0.750,0.250
"42",2,1,0.667,0.333,0.625,0.375
"romantic",1,0,1.000,0.000,0.750,0.250
"lines",1,0,1.000,0.000,0.750,0.250
"ya",3,0,1.000,0.000,0.875,0.125
"reporter",2,4,0.333,0.667,0.357,0.643
"responded",1,0,1.000,0.000,0.750,0.250
"vulgar",1,0,1.000,0.000,0.750,0.250
"comment",1,0,1.000,0.000,0.750,0.250
"mama",1,0,1.000,0.000,0.750,0.250
"joke",1,0,1.000,0.000,0.750,0.250
"smooth",1,0,1.000,0.000,0.750,0.250
"af",7,0,1.000,0.000,0.937,0.063
"bart",1,0,1.000,0.000,0.750,0.250
"lisa",1,0,1.000,0.000,0.750,0.250
"compatible",1,0,1.000,0.000,0.750,0.250
"remember",11,0,1.000,0.000,0.958,0.042
"vampire",1,0,1.000,0.000,0.750,0.250
"diaries",1,0,1.000,0.000,0.750,0.250
"murder",1,4,0.200,0.800,0.250,0.750
"house",4,3,0.571,0.429,0.562,0.438
"sabrina",1,0,1.000,0.000,0.750,0.250
"teenage",1,0,1.000,0.000,0.750,0.250
"witch",1,0,1.000,0.000,0.750,0.250
"12",5,0,1.000,0.000,0.917,0.083
"grew",4,0,1.000,0.000,0.900,0.100
"san",2,1,0.667,0.333,0.625,0.375
"francisco",2,0,1.000,0.000,0.833,0.167
"say",6,2,0.750,0.250,0.722,0.278
"chronic",1,0,1.000,0.000,0.750,0.250
"pain",1,0,1.000,0.000,0.750,0.250
"hear",1,0,1.000,0.000,0.750,0.250
"amazing",6,0,1.000,0.000,0.929,0.071
"bodycon",1,0,1.000,0.000,0.750,0.250
"looks",3,2,0.600,0.400,0.583,0.417
"wanna",1,0,1.000,0.000,0.750,0.250
"rock",5,0,1.000,0.000,0.917,0.083
"there's",2,0,1.000,0.000,0.833,0.167
"beauty",3,0,1.000,0.000,0.875,0.125
"box",1,1,0.500,0.500,0.500,0.500
"catering",1,0,1.000,0.000,0.750,0.250
"taught",4,0,1.000,0.000,0.900,0.100
"grandmas",1,0,1.000,0.000,0.750,0.250
"nae",3,0,1.000,0.000,0.875,0.125
"it",9,3,0.750,0.250,0.731,0.269
"was",11,4,0.733,0.267,0.719,0.281
"products",3,0,1.000,0.000,0.875,0.125
"embracing",1,0,1.000,0.000,0.750,0.250
"inner",1,0,1.000,0.000,0.750,0.250
"kanye",4,0,1.000,0.000,0.900,0.100
"draw",1,1,0.500,0.500,0.500,0.500
"hand",2,0,1.000,0.000,0.833,0.167
"maybe",1,0,1.000,0.000,0.750,0.250
"can",18,0,1.000,0.000,0.974,0.026
"identify",3,0,1.000,0.000,0.875,0.125
"movies",4,0,1.000,0.000,0.900,0.100
"main",1,1,0.500,0.500,0.500,0.500
"character's",1,0,1.000,0.000,0.750,0.250
"bff",2,0,1.000,0.000,0.833,0.167
"tweets",6,0,1.000,0.000,0.929,0.071
"prove",4,0,1.000,0.000,0.900,0.100
"real",8,0,1.000,0.000,0.944,0.056
"dick",1,0,1.000,0.000,0.750,0.250
"sometimes",1,0,1.000,0.000,0.750,0.250
"badass",3,0,1.000,0.000,0.875,0.125
"lady",2,0,1.000,0.000,0.833,0.167
"valentine",1,0,1.000,0.000,0.750,0.250
