Word,Clickbait,Non-clickbait,Clickbait probability,Non-Clickbait probability,Clickbait normal probability,Non-clickbait normal probability
"princesses",2,0,1.000,0.000,0.833,0.167
"were",30,3,0.909,0.091,0.897,0.103
"florida",1,2,0.333,0.667,0.375,0.625
"what's",15,0,1.000,0.000,0.969,0.031
"quote",1,0,1.000,0.000,0.750,0.250
"or",29,4,0.879,0.121,0.868,0.132
"lyric",2,0,1.000,0.000,0.833,0.167
"that",115,8,0.935,0.065,0.931,0.069
"best",36,0,1.000,0.000,0.986,0.014
"describes",2,0,1.000,0.000,0.833,0.167
"depression",5,1,0.833,0.167,0.786,0.214
"natalie",1,0,1.000,0.000,0.750,0.250
"dormer",1,0,1.000,0.000,0.750,0.250
"and",102,65,0.611,0.389,0.610,0.390
"sam",1,0,1.000,0.000,0.750,0.250
"claflin",1,0,1.000,0.000,0.750,0.250
"play",3,1,0.750,0.250,0.700,0.300
"game",16,8,0.667,0.333,0.660,0.340
"see",15,0,1.000,0.000,0.969,0.031
"they'd",1,0,1.000,0.000,0.750,0.250
"actually",49,0,1.000,0.000,0.990,0.010
"last",13,1,0.929,0.071,0.900,0.100
"hunger",2,0,1.000,0.000,0.833,0.167
"games",3,2,0.600,0.400,0.583,0.417
"16",15,0,1.000,0.000,0.969,0.031
"responses",1,0,1.000,0.000,0.750,0.250
"indian",3,5,0.375,0.625,0.389,0.611
"patriarchy",1,0,1.000,0.000,0.750,0.250
"21",42,1,0.977,0.023,0.966,0.034
"times",36,3,0.923,0.077,0.912,0.087
"died",1,1,0.500,0.500,0.500,0.500
"during",15,5,0.750,0.250,0.738,0.262
"captain",1,0,1.000,0.000,0.750,0.250
"america:",1,0,1.000,0.000,0.750,0.250
"civil",1,3,0.250,0.750,0.300,0.700
"war",2,15,0.118,0.882,0.139,0.861
"teaser",2,0,1.000,0.000,0.833,0.167
"17",54,1,0.982,0.018,0.973,0.027
"kourtney",1,0,1.000,0.000,0.750,0.250
"kardashian",5,0,1.000,0.000,0.917,0.083
"shut",3,2,0.600,0.400,0.583,0.417
"down",4,10,0.286,0.714,0.300,0.700
"her",13,1,0.929,0.071,0.900,0.100
"own",5,2,0.714,0.286,0.688,0.312
"family",5,3,0.625,0.375,0.611,0.389
"does",3,2,0.600,0.400,0.583,0.417
"coffee",3,0,1.000,0.000,0.875,0.125
"make",54,0,1.000,0.000,0.991,0.009
"poop",1,0,1.000,0.000,0.750,0.250
"who",69,4,0.945,0.055,0.939,0.061
"ex",1,0,1.000,0.000,0.750,0.250
"based",42,2,0.955,0.045,0.944,0.056
"zodiac",17,0,1.000,0.000,0.972,0.028
"hairdresser",1,0,1.000,0.000,0.750,0.250
"struggles",10,2,0.833,0.167,0.808,0.192
"every",29,0,1.000,0.000,0.983,0.017
"black",6,1,0.857,0.143,0.812,0.188
"girl",10,3,0.769,0.231,0.750,0.250
"knows",3,0,1.000,0.000,0.875,0.125
"be",34,14,0.708,0.292,0.704,0.296
"true",5,0,1.000,0.000,0.917,0.083
"are",140,10,0.933,0.067,0.930,0.070
"more",14,17,0.452,0.548,0.453,0.547
"walter",1,0,1.000,0.000,0.750,0.250
"white",2,4,0.333,0.667,0.357,0.643
"heisenberg",1,0,1.000,0.000,0.750,0.250
"most",28,1,0.966,0.034,0.950,0.050
"canadian",5,8,0.385,0.615,0.393,0.607
"groom",1,0,1.000,0.000,0.750,0.250
"ever",22,1,0.957,0.043,0.938,0.062
"left",1,0,1.000,0.000,0.750,0.250
"his",32,9,0.780,0.220,0.774,0.226
"wedding",11,0,1.000,0.000,0.958,0.042
"plow",1,0,1.000,0.000,0.750,0.250
"out",28,9,0.757,0.243,0.750,0.250
"guests",1,0,1.000,0.000,0.750,0.250
"snow",2,0,1.000,0.000,0.833,0.167
"storm",3,4,0.429,0.571,0.438,0.562
"here's",35,0,1.000,0.000,0.986,0.014
"one",12,16,0.429,0.571,0.431,0.569
"really",22,0,1.000,0.000,0.978,0.022
"weird",7,0,1.000,0.000,0.938,0.062
"thing",11,0,1.000,0.000,0.958,0.042
"about",67,11,0.859,0.141,0.854,0.146
"butterfree",1,0,1.000,0.000,0.750,0.250
"15",23,1,0.958,0.042,0.940,0.060
"resolutions",2,0,1.000,0.000,0.833,0.167
"good",10,2,0.833,0.167,0.808,0.192
"2016",14,0,1.000,0.000,0.967,0.033
"what",75,1,0.987,0.013,0.981,0.019
"try",13,2,0.867,0.133,0.844,0.156
"zoo",1,0,1.000,0.000,0.750,0.250
"animals",6,1,0.857,0.143,0.812,0.188
"around",4,4,0.500,0.500,0.500,0.500
"world",15,15,0.500,0.500,0.500,0.500
"opening",1,2,0.333,0.667,0.375,0.625
"christmas",13,2,0.867,0.133,0.844,0.156
"presents",1,0,1.000,0.000,0.750,0.250
"early",5,3,0.625,0.375,0.611,0.389
"tell",12,1,0.923,0.077,0.893,0.107
"us",15,37,0.288,0.712,0.292,0.708
"yourself(ie):",2,0,1.000,0.000,0.833,0.167
"erica",1,0,1.000,0.000,0.750,0.250
"ash",1,0,1.000,0.000,0.750,0.250
"9",7,1,0.875,0.125,0.833,0.167
"cried",2,0,1.000,0.000,0.833,0.167
"vegetarian",2,0,1.000,0.000,0.833,0.167
"dump",3,0,1.000,0.000,0.875,0.125
"dinners",4,0,1.000,0.000,0.900,0.100
"for",79,103,0.434,0.566,0.434,0.566
"crock",2,0,1.000,0.000,0.833,0.167
"pot",2,0,1.000,0.000,0.833,0.167
"goat",1,0,1.000,0.000,0.750,0.250
"has",25,6,0.806,0.194,0.797,0.203
"been",10,0,1.000,0.000,0.955,0.045
"bullying",1,0,1.000,0.000,0.750,0.250
"tiger",1,1,0.500,0.500,0.500,0.500
"8",7,1,0.875,0.125,0.833,0.167
"fall",13,4,0.765,0.235,0.750,0.250
"shows",4,6,0.400,0.600,0.409,0.591
"excited",2,0,1.000,0.000,0.833,0.167
"10",6,2,0.750,0.250,0.722,0.278
"chance",2,0,1.000,0.000,0.833,0.167
"6",5,4,0.556,0.444,0.550,0.450
"avoid",1,2,0.333,0.667,0.375,0.625
"another",1,4,0.200,0.800,0.250,0.750
"round",1,2,0.333,0.667,0.375,0.625
"episode",7,1,0.875,0.125,0.833,0.167
"25:",1,0,1.000,0.000,0.750,0.250
"stop",4,4,0.500,0.500,0.500,0.500
"telling",1,0,1.000,0.000,0.750,0.250
"women",17,5,0.773,0.227,0.761,0.239
"smile",1,0,1.000,0.000,0.750,0.250
"signs",6,2,0.750,0.250,0.722,0.278
"too",21,1,0.955,0.045,0.935,0.065
"stubborn",1,0,1.000,0.000,0.750,0.250
"live",7,2,0.778,0.222,0.750,0.250
"country",4,1,0.800,0.200,0.750,0.250
"singer",2,4,0.333,0.667,0.357,0.643
"makes",5,7,0.417,0.583,0.423,0.577
"music",7,7,0.500,0.500,0.500,0.500
"boy",3,2,0.600,0.400,0.583,0.417
"spare",1,0,1.000,0.000,0.750,0.250
"time",21,3,0.875,0.125,0.860,0.140
"when",26,1,0.963,0.037,0.946,0.054
"realize",2,0,1.000,0.000,0.833,0.167
"guy",12,0,1.000,0.000,0.962,0.038
"taken",1,1,0.500,0.500,0.500,0.500
"awesome",4,0,1.000,0.000,0.900,0.100
"look",12,0,1.000,0.000,0.962,0.038
"at",31,70,0.307,0.693,0.309,0.691
"behind-the-scenes",1,0,1.000,0.000,0.750,0.250
"concept",1,0,1.000,0.000,0.750,0.250
"art",1,0,1.000,0.000,0.750,0.250
"aladdin",3,0,1.000,0.000,0.875,0.125
"sarah",2,0,1.000,0.000,0.833,0.167
"jessica",3,0,1.000,0.000,0.875,0.125
"parker",2,0,1.000,0.000,0.833,0.167
"talks",1,6,0.143,0.857,0.188,0.812
"being",11,1,0.917,0.083,0.885,0.115
"carrie",1,0,1.000,0.000,0.750,0.250
"hocus",2,0,1.000,0.000,0.833,0.167
"pocus",2,0,1.000,0.000,0.833,0.167
"love",18,0,1.000,0.000,0.974,0.026
"type",3,0,1.000,0.000,0.875,0.125
"swearer",1,0,1.000,0.000,0.750,0.250
"dad",8,1,0.889,0.111,0.850,0.150
"recorded",2,0,1.000,0.000,0.833,0.167
"all",39,2,0.951,0.049,0.940,0.060
"adorable",6,0,1.000,0.000,0.929,0.071
"questions",12,1,0.923,0.077,0.893,0.107
"son",2,1,0.667,0.333,0.625,0.375
"asked",6,0,1.000,0.000,0.929,0.071
"watching",2,0,1.000,0.000,0.833,0.167
"wars",4,1,0.800,0.200,0.750,0.250
"first",13,14,0.481,0.519,0.482,0.518
"29",5,1,0.833,0.167,0.786,0.214
"impossibly",2,0,1.000,0.000,0.833,0.167
"stylish",1,0,1.000,0.000,0.750,0.250
"cat",9,1,0.900,0.100,0.864,0.136
"gifts",7,0,1.000,0.000,0.938,0.062
"order",2,0,1.000,0.000,0.833,0.167
"awesomeness",1,0,1.000,0.000,0.750,0.250
"13",12,5,0.706,0.294,0.694,0.306
"glorious",3,0,1.000,0.000,0.875,0.125
"made-up",1,0,1.000,0.000,0.750,0.250
"words",12,2,0.857,0.143,0.833,0.167
"literature",2,0,1.000,0.000,0.833,0.167
"we",50,0,1.000,0.000,0.990,0.010
"pranked",2,0,1.000,0.000,0.833,0.167
"bunch",3,0,1.000,0.000,0.875,0.125
"people",79,4,0.952,0.048,0.946,0.054
"by",15,32,0.319,0.681,0.323,0.677
"dropping",1,1,0.500,0.500,0.500,0.500
"iphone",2,2,0.500,0.500,0.500,0.500
"front",3,0,1.000,0.000,0.875,0.125
"them",5,2,0.714,0.286,0.688,0.312
"23",23,0,1.000,0.000,0.979,0.021
"flaws",1,0,1.000,0.000,0.750,0.250
"sneakerhead",1,0,1.000,0.000,0.750,0.250
"know",50,1,0.980,0.020,0.971,0.029
"sign",13,0,1.000,0.000,0.964,0.036
"choose",2,0,1.000,0.000,0.833,0.167
"grimes",1,0,1.000,0.000,0.750,0.250
"album",4,2,0.667,0.333,0.643,0.357
"heartbreaking",4,0,1.000,0.000,0.900,0.100
"inspiration",1,0,1.000,0.000,0.750,0.250
"behind",3,4,0.429,0.571,0.438,0.562
"oblivion",1,0,1.000,0.000,0.750,0.250
"instagram",9,0,1.000,0.000,0.950,0.050
"account",3,0,1.000,0.000,0.875,0.125
"recreating",1,0,1.000,0.000,0.750,0.250
"2015's",2,0,1.000,0.000,0.833,0.167
"greatest",4,0,1.000,0.000,0.900,0.100
"hits",2,5,0.286,0.714,0.312,0.688
"barbies",1,0,1.000,0.000,0.750,0.250
"22",14,0,1.000,0.000,0.967,0.033
"adele",4,0,1.000,0.000,0.900,0.100
"memes",6,0,1.000,0.000,0.929,0.071
"pictures",14,0,1.000,0.000,0.967,0.033
"hot",10,0,1.000,0.000,0.955,0.045
"will",85,6,0.934,0.066,0.929,0.071
"never",16,0,1.000,0.000,0.971,0.029
"understand",19,0,1.000,0.000,0.975,0.025
"badly",1,0,1.000,0.000,0.750,0.250
"taking",2,0,1.000,0.000,0.833,0.167
"direction",2,0,1.000,0.000,0.833,0.167
"hiatus",1,0,1.000,0.000,0.750,0.250
"want",13,0,1.000,0.000,0.964,0.036
"guys",5,0,1.000,0.000,0.917,0.083
"pinterest",2,0,1.000,0.000,0.833,0.167
"leaf",1,0,1.000,0.000,0.750,0.250
"hacks",3,0,1.000,0.000,0.875,0.125
"tips",3,0,1.000,0.000,0.875,0.125
"hiking",1,0,1.000,0.000,0.750,0.250
"kids",15,0,1.000,0.000,0.969,0.031
"parent",1,1,0.500,0.500,0.500,0.500
"scariest",1,0,1.000,0.000,0.750,0.250
"halloween",15,0,1.000,0.000,0.969,0.031
"candy",4,0,1.000,0.000,0.900,0.100
"taste",2,0,1.000,0.000,0.833,0.167
"test",11,5,0.688,0.312,0.676,0.324
"dog",9,0,1.000,0.000,0.950,0.050
"begging",1,0,1.000,0.000,0.750,0.250
"human's",1,0,1.000,0.000,0.750,0.250
"forgiveness",1,0,1.000,0.000,0.750,0.250
"cutest",3,0,1.000,0.000,0.875,0.125
"you'll",19,0,1.000,0.000,0.975,0.025
"today",6,1,0.857,0.143,0.812,0.188
"100",4,3,0.571,0.429,0.562,0.438
"years",5,10,0.333,0.667,0.344,0.656
"bollywood",2,1,0.667,0.333,0.625,0.375
"cinema",2,0,1.000,0.000,0.833,0.167
"under",1,7,0.125,0.875,0.167,0.833
"four",6,3,0.667,0.333,0.650,0.350
"minutes",3,1,0.750,0.250,0.700,0.300
"ed",3,1,0.750,0.250,0.700,0.300
"westwick",1,0,1.000,0.000,0.750,0.250
"showed",1,0,1.000,0.000,0.750,0.250
"up",29,20,0.592,0.408,0.590,0.410
"emmys",1,0,1.000,0.000,0.750,0.250
"party",5,5,0.500,0.500,0.500,0.500
"looking",4,1,0.800,0.200,0.750,0.250
"like",28,3,0.903,0.097,0.891,0.109
"chuck",1,0,1.000,0.000,0.750,0.250
"bass",1,0,1.000,0.000,0.750,0.250
"dreams",2,0,1.000,0.000,0.833,0.167
"favorite",16,1,0.941,0.059,0.917,0.083
"activity",1,1,0.500,0.500,0.500,0.500
"visiting",1,2,0.333,0.667,0.375,0.625
"take",8,5,0.615,0.385,0.607,0.393
"color",7,0,1.000,0.000,0.938,0.062
"far",6,0,1.000,0.000,0.929,0.071
"you'd",2,0,1.000,0.000,0.833,0.167
"go",10,6,0.625,0.375,0.618,0.382
"brave",1,0,1.000,0.000,0.750,0.250
"enough",1,3,0.250,0.750,0.300,0.700
"date",5,0,1.000,0.000,0.917,0.083
"werewolf",1,0,1.000,0.000,0.750,0.250
"18",29,2,0.935,0.065,0.922,0.078
"everyone",18,0,1.000,0.000,0.974,0.026
"hates",3,0,1.000,0.000,0.875,0.125
"pda",1,0,1.000,0.000,0.750,0.250
"27",16,2,0.889,0.111,0.868,0.132
"always",6,0,1.000,0.000,0.929,0.071
"happen",5,0,1.000,0.000,0.917,0.083
"office",1,2,0.333,0.667,0.375,0.625
"many",9,0,1.000,0.000,0.950,0.050
"these",46,0,1.000,0.000,0.989,0.011
"spongebob",1,0,1.000,0.000,0.750,0.250
"faces",3,3,0.500,0.500,0.500,0.500
"recognize",5,0,1.000,0.000,0.917,0.083
"golden",5,0,1.000,0.000,0.917,0.083
"globe",3,1,0.750,0.250,0.700,0.300
"reaction",1,1,0.500,0.500,0.500,0.500
"face",2,2,0.500,0.500,0.500,0.500
"25",17,0,1.000,0.000,0.972,0.028
"reasons",12,1,0.923,0.077,0.893,0.107
"trip",1,1,0.500,0.500,0.500,0.500
"costa",1,1,0.500,0.500,0.500,0.500
"rica",1,0,1.000,0.000,0.750,0.250
"could",9,5,0.643,0.357,0.633,0.367
"change",4,1,0.800,0.200,0.750,0.250
"life",27,4,0.871,0.129,0.859,0.141
"literally",3,0,1.000,0.000,0.875,0.125
"just",22,2,0.917,0.083,0.900,0.100
"46",3,0,1.000,0.000,0.875,0.125
"photos",18,0,1.000,0.000,0.974,0.026
"scotland",3,2,0.600,0.400,0.583,0.417
"sexy",2,0,1.000,0.000,0.833,0.167
"as",11,36,0.234,0.766,0.240,0.760
"hell",4,0,1.000,0.000,0.900,0.100
"58",1,0,1.000,0.000,0.750,0.250
"mildly",3,0,1.000,0.000,0.875,0.125
"annoy",1,0,1.000,0.000,0.750,0.250
"anyone",9,0,1.000,0.000,0.950,0.050
"lives",3,2,0.600,0.400,0.583,0.417
"someone",7,0,1.000,0.000,0.938,0.062
"messy",2,0,1.000,0.000,0.833,0.167
"places",6,0,1.000,0.000,0.929,0.071
"lovers",2,0,1.000,0.000,0.833,0.167
"london",2,5,0.286,0.714,0.312,0.688
"lyrics",11,0,1.000,0.000,0.958,0.042
"hotline",1,0,1.000,0.000,0.750,0.250
"bling",1,0,1.000,0.000,0.750,0.250
"drake",7,0,1.000,0.000,0.938,0.062
"weasley",1,0,1.000,0.000,0.750,0.250
"books",6,0,1.000,0.000,0.929,0.071
"90s",4,0,1.000,0.000,0.900,0.100
"kid",4,0,1.000,0.000,0.900,0.100
"immediately",1,0,1.000,0.000,0.750,0.250
"organisation",1,0,1.000,0.000,0.750,0.250
"trying",4,0,1.000,0.000,0.900,0.100
"launch",1,7,0.125,0.875,0.167,0.833
"india's",2,0,1.000,0.000,0.833,0.167
"transgender",1,1,0.500,0.500,0.500,0.500
"model",6,2,0.750,0.250,0.722,0.278
"agency",1,2,0.333,0.667,0.375,0.625
"request",1,0,1.000,0.000,0.750,0.250
"timeout",1,0,1.000,0.000,0.750,0.250
"issa",1,0,1.000,0.000,0.750,0.250
"rae's",1,0,1.000,0.000,0.750,0.250
"insecure",1,0,1.000,0.000,0.750,0.250
"coming",3,2,0.600,0.400,0.583,0.417
"hbo",1,0,1.000,0.000,0.750,0.250
"long",5,2,0.714,0.286,0.688,0.312
"well",20,0,1.000,0.000,0.976,0.024
"pretty",5,0,1.000,0.000,0.917,0.083
"little",9,2,0.818,0.182,0.792,0.208
"liars",1,0,1.000,0.000,0.750,0.250
"you've",11,0,1.000,0.000,0.958,0.042
"using",2,1,0.667,0.333,0.625,0.375
"rice",3,0,1.000,0.000,0.875,0.125
"cooker",6,0,1.000,0.000,0.929,0.071
"wrong",4,0,1.000,0.000,0.900,0.100
"entire",2,0,1.000,0.000,0.833,0.167
"no",10,3,0.769,0.231,0.750,0.250
"actors",3,0,1.000,0.000,0.875,0.125
"nominated",1,0,1.000,0.000,0.750,0.250
"oscar",4,0,1.000,0.000,0.900,0.100
"year",12,3,0.800,0.200,0.781,0.219
"pissed",1,0,1.000,0.000,0.750,0.250
"totally",6,0,1.000,0.000,0.929,0.071
"nailed",1,0,1.000,0.000,0.750,0.250
"modern",1,0,1.000,0.000,0.750,0.250
"day",9,9,0.500,0.500,0.500,0.500
"would",13,0,1.000,0.000,0.964,0.036
"easy",11,0,1.000,0.000,0.958,0.042
"delicious",9,0,1.000,0.000,0.950,0.050
"one-pan",1,0,1.000,0.000,0.750,0.250
"breakfasts",1,0,1.000,0.000,0.750,0.250
"tried",7,0,1.000,0.000,0.938,0.062
"magic",1,0,1.000,0.000,0.750,0.250
"wands",1,0,1.000,0.000,0.750,0.250
"happened",4,0,1.000,0.000,0.900,0.100
"charli",1,0,1.000,0.000,0.750,0.250
"xcx",1,0,1.000,0.000,0.750,0.250
"looked",8,0,1.000,0.000,0.944,0.056
"space",2,7,0.222,0.778,0.250,0.750
"dominatrix",1,0,1.000,0.000,0.750,0.250
"mtv",3,0,1.000,0.000,0.875,0.125
"emas",2,0,1.000,0.000,0.833,0.167
"avengers",2,0,1.000,0.000,0.833,0.167
"they",13,0,1.000,0.000,0.964,0.036
"originally",1,0,1.000,0.000,0.750,0.250
"comics",1,0,1.000,0.000,0.750,0.250
"urinals",1,0,1.000,0.000,0.750,0.250
"worst",10,0,1.000,0.000,0.955,0.045
"human",1,2,0.333,0.667,0.375,0.625
"invention",1,0,1.000,0.000,0.750,0.250
"free",3,2,0.600,0.400,0.583,0.417
"car",2,7,0.222,0.778,0.250,0.750
"oprah",1,0,1.000,0.000,0.750,0.250
"tub",1,0,1.000,0.000,0.750,0.250
"vaseline",1,0,1.000,0.000,0.750,0.250
"tyra",1,0,1.000,0.000,0.750,0.250
"28",3,2,0.600,0.400,0.583,0.417
"crimes",1,3,0.250,0.750,0.300,0.700
"committed",1,0,1.000,0.000,0.750,0.250
"19",33,1,0.971,0.029,0.957,0.043
"beautiful",6,0,1.000,0.000,0.929,0.071
"feels",2,0,1.000,0.000,0.833,0.167
"rid",1,0,1.000,0.000,0.750,0.250
"acne",1,0,1.000,0.000,0.750,0.250
"over",7,36,0.163,0.837,0.170,0.830
"body",6,4,0.600,0.400,0.591,0.409
"24-year-old",1,0,1.000,0.000,0.750,0.250
"got",7,1,0.875,0.125,0.833,0.167
"drunk",5,0,1.000,0.000,0.917,0.083
"accidentally",1,0,1.000,0.000,0.750,0.250
"booked",1,0,1.000,0.000,0.750,0.250
"insane",2,0,1.000,0.000,0.833,0.167
"vacation",1,0,1.000,0.000,0.750,0.250
"going",6,2,0.750,0.250,0.722,0.278
"buy",2,1,0.667,0.333,0.625,0.375
"leona",1,0,1.000,0.000,0.750,0.250
"lewis's",1,0,1.000,0.000,0.750,0.250
"exclusive",1,0,1.000,0.000,0.750,0.250
"grindr",1,0,1.000,0.000,0.750,0.250
"24",19,2,0.905,0.095,0.886,0.114
"desserts",5,0,1.000,0.000,0.917,0.083
"aren't",4,0,1.000,0.000,0.900,0.100
"pie",1,0,1.000,0.000,0.750,0.250
"jason",1,1,0.500,0.500,0.500,0.500
"aldean",1,0,1.000,0.000,0.750,0.250
"wore",2,0,1.000,0.000,0.833,0.167
"blackface",1,0,1.000,0.000,0.750,0.250
"dress",6,0,1.000,0.000,0.929,0.071
"lil",1,0,1.000,0.000,0.750,0.250
"wayne",1,0,1.000,0.000,0.750,0.250
"college",6,0,1.000,0.000,0.929,0.071
"sucked",1,0,1.000,0.000,0.750,0.250
"hardest",3,0,1.000,0.000,0.875,0.125
"america's",2,1,0.667,0.333,0.625,0.375
"next",6,1,0.857,0.143,0.812,0.188
"top",4,7,0.364,0.636,0.375,0.625
"quiz",5,0,1.000,0.000,0.917,0.083
"determine",6,0,1.000,0.000,0.929,0.071
"masturbate",2,0,1.000,0.000,0.833,0.167
"42",4,1,0.800,0.200,0.750,0.250
"romantic",2,0,1.000,0.000,0.833,0.167
"lines",1,0,1.000,0.000,0.750,0.250
"ya",3,0,1.000,0.000,0.875,0.125
"reporter",2,5,0.286,0.714,0.312,0.688
"responded",1,0,1.000,0.000,0.750,0.250
"vulgar",1,0,1.000,0.000,0.750,0.250
"comment",1,0,1.000,0.000,0.750,0.250
"mama",1,0,1.000,0.000,0.750,0.250
"joke",1,0,1.000,0.000,0.750,0.250
"smooth",1,0,1.000,0.000,0.750,0.250
"af",11,0,1.000,0.000,0.958,0.042
"bart",1,0,1.000,0.000,0.750,0.250
"lisa",1,0,1.000,0.000,0.750,0.250
"compatible",1,0,1.000,0.000,0.750,0.250
"remember",16,0,1.000,0.000,0.971,0.029
"vampire",2,0,1.000,0.000,0.833,0.167
"diaries",1,0,1.000,0.000,0.750,0.250
"murder",2,5,0.286,0.714,0.312,0.688
"house",5,8,0.385,0.615,0.393,0.607
"sabrina",1,0,1.000,0.000,0.750,0.250
"teenage",1,0,1.000,0.000,0.750,0.250
"witch",1,0,1.000,0.000,0.750,0.250
"12",11,2,0.846,0.154,0.821,0.179
"grew",6,1,0.857,0.143,0.812,0.188
"san",2,2,0.500,0.500,0.500,0.500
"francisco",2,0,1.000,0.000,0.833,0.167
"say",8,3,0.727,0.273,0.708,0.292
"chronic",1,0,1.000,0.000,0.750,0.250
"pain",1,0,1.000,0.000,0.750,0.250
"hear",3,0,1.000,0.000,0.875,0.125
"amazing",10,0,1.000,0.000,0.955,0.045
"bodycon",1,0,1.000,0.000,0.750,0.250
"looks",6,3,0.667,0.333,0.650,0.350
"wanna",1,0,1.000,0.000,0.750,0.250
"rock",6,0,1.000,0.000,0.929,0.071
"there's",3,0,1.000,0.000,0.875,0.125
"beauty",5,1,0.833,0.167,0.786,0.214
"box",1,1,0.500,0.500,0.500,0.500
"catering",1,0,1.000,0.000,0.750,0.250
"taught",4,0,1.000,0.000,0.900,0.100
"grandmas",2,0,1.000,0.000,0.833,0.167
"nae",3,0,1.000,0.000,0.875,0.125
"it",20,10,0.667,0.333,0.661,0.339
"was",23,5,0.821,0.179,0.810,0.190
"products",6,1,0.857,0.143,0.812,0.188
"embracing",1,0,1.000,0.000,0.750,0.250
"inner",1,1,0.500,0.500,0.500,0.500
"kanye",6,0,1.000,0.000,0.929,0.071
"draw",1,2,0.333,0.667,0.375,0.625
"hand",2,0,1.000,0.000,0.833,0.167
"maybe",1,0,1.000,0.000,0.750,0.250
"can",45,4,0.918,0.082,0.910,0.090
"identify",8,0,1.000,0.000,0.944,0.056
"movies",13,0,1.000,0.000,0.964,0.036
"main",1,1,0.500,0.500,0.500,0.500
"character's",1,0,1.000,0.000,0.750,0.250
"bff",3,0,1.000,0.000,0.875,0.125
"tweets",14,0,1.000,0.000,0.967,0.033
"prove",14,1,0.933,0.067,0.906,0.094
"real",22,0,1.000,0.000,0.978,0.022
"dick",1,0,1.000,0.000,0.750,0.250
"sometimes",2,0,1.000,0.000,0.833,0.167
"badass",4,0,1.000,0.000,0.900,0.100
"lady",4,0,1.000,0.000,0.900,0.100
"valentine",2,1,0.667,0.333,0.625,0.375
