Word,Clickbait,Non-clickbait,Clickbait probability,Non-Clickbait probability,Clickbait normal probability,Non-clickbait normal probability
"be",279,132,0.679,0.321,0.678,0.322
"true",60,1,0.984,0.016,0.976,0.024
"are",1030,77,0.930,0.070,0.930,0.070
"more",156,101,0.607,0.393,0.607,0.393
"walter",2,0,1.000,0.000,0.833,0.167
"white",19,30,0.388,0.612,0.390,0.610
"heisenberg",1,0,1.000,0.000,0.750,0.250
"most",236,16,0.937,0.063,0.935,0.065
"canadian",29,68,0.299,0.701,0.301,0.699
"groom",9,0,1.000,0.000,0.950,0.050
"ever",164,7,0.959,0.041,0.956,0.044
"left",6,10,0.375,0.625,0.382,0.618
"his",168,77,0.686,0.314,0.685,0.315
"wedding",59,1,0.983,0.017,0.975,0.025
"plow",2,0,1.000,0.000,0.833,0.167
"out",194,90,0.683,0.317,0.682,0.318
"guests",5,0,1.000,0.000,0.917,0.083
"snow",7,6,0.538,0.462,0.536,0.464
"storm",5,31,0.139,0.861,0.149,0.851
"here's",230,0,1.000,0.000,0.998,0.002
"one",156,94,0.624,0.376,0.624,0.376
"really",144,2,0.986,0.014,0.983,0.017
"weird",36,0,1.000,0.000,0.986,0.014
"thing",100,0,1.000,0.000,0.995,0.005
"about",563,56,0.910,0.090,0.909,0.091
"butterfree",1,0,1.000,0.000,0.750,0.250
"15",186,18,0.912,0.088,0.910,0.090
"resolutions",7,0,1.000,0.000,0.937,0.063
"good",51,14,0.785,0.215,0.780,0.220
"2016",96,1,0.990,0.010,0.985,0.015
"what",594,10,0.983,0.017,0.983,0.017
"try",92,17,0.844,0.156,0.841,0.159
"zoo",4,3,0.571,0.429,0.562,0.438
"animals",36,5,0.878,0.122,0.869,0.131
"around",30,17,0.638,0.362,0.635,0.365
"world",97,126,0.435,0.565,0.435,0.565
"opening",4,7,0.364,0.636,0.375,0.625
"christmas",128,10,0.928,0.072,0.924,0.076
"presents",4,1,0.800,0.200,0.750,0.250
"early",13,22,0.371,0.629,0.375,0.625
"tell",115,4,0.966,0.034,0.962,0.038
"us",111,337,0.248,0.752,0.248,0.752
"yourself(ie):",14,0,1.000,0.000,0.967,0.033
"erica",1,0,1.000,0.000,0.750,0.250
"ash",1,3,0.250,0.750,0.300,0.700
"9",56,12,0.824,0.176,0.819,0.181
"cried",6,0,1.000,0.000,0.929,0.071
"vegetarian",4,0,1.000,0.000,0.900,0.100
"dump",5,1,0.833,0.167,0.786,0.214
"dinners",19,0,1.000,0.000,0.975,0.025
"for",755,934,0.447,0.553,0.447,0.553
"crock",4,0,1.000,0.000,0.900,0.100
"pot",4,0,1.000,0.000,0.900,0.100
"goat",2,0,1.000,0.000,0.833,0.167
"has",171,53,0.763,0.237,0.762,0.238
"been",60,6,0.909,0.091,0.903,0.097
"bullying",3,5,0.375,0.625,0.389,0.611
"tiger",1,6,0.143,0.857,0.187,0.813
"8",39,20,0.661,0.339,0.658,0.342
"fall",65,27,0.707,0.293,0.704,0.296
"shows",26,31,0.456,0.544,0.457,0.543
"excited",10,0,1.000,0.000,0.955,0.045
"10",67,19,0.779,0.221,0.776,0.224
"chance",4,11,0.267,0.733,0.281,0.719
"6",18,21,0.462,0.538,0.462,0.538
"avoid",4,9,0.308,0.692,0.321,0.679
"another",17,26,0.395,0.605,0.398,0.602
"round",9,32,0.220,0.780,0.226,0.774
"episode",26,2,0.929,0.071,0.914,0.086
"25:",1,0,1.000,0.000,0.750,0.250
"stop",42,13,0.764,0.236,0.759,0.241
"telling",4,1,0.800,0.200,0.750,0.250
"women",107,29,0.787,0.213,0.785,0.215
"smile",9,1,0.900,0.100,0.864,0.136
"signs",47,28,0.627,0.373,0.625,0.375
"too",137,12,0.919,0.081,0.917,0.083
"stubborn",2,0,1.000,0.000,0.833,0.167
"live",53,14,0.791,0.209,0.787,0.213
"country",13,10,0.565,0.435,0.562,0.438
"singer",5,14,0.263,0.737,0.275,0.725
"makes",22,44,0.333,0.667,0.336,0.664
"music",55,27,0.671,0.329,0.669,0.331
"boy",17,16,0.515,0.485,0.515,0.485
"spare",2,1,0.667,0.333,0.625,0.375
"time",169,41,0.805,0.195,0.803,0.197
"when",224,18,0.926,0.074,0.924,0.076
"realize",6,0,1.000,0.000,0.929,0.071
"guy",68,1,0.986,0.014,0.979,0.021
"taken",10,11,0.476,0.524,0.477,0.523
"awesome",37,0,1.000,0.000,0.987,0.013
"look",103,12,0.896,0.104,0.892,0.108
"at",261,563,0.317,0.683,0.317,0.683
"behind-the-scenes",5,1,0.833,0.167,0.786,0.214
"concept",1,0,1.000,0.000,0.750,0.250
"art",24,7,0.774,0.226,0.766,0.234
"aladdin",4,0,1.000,0.000,0.900,0.100
"sarah",7,0,1.000,0.000,0.937,0.063
"jessica",16,0,1.000,0.000,0.971,0.029
"parker",2,0,1.000,0.000,0.833,0.167
"talks",5,44,0.102,0.898,0.110,0.890
"being",101,21,0.828,0.172,0.825,0.175
"carrie",4,0,1.000,0.000,0.900,0.100
"hocus",7,0,1.000,0.000,0.937,0.063
"pocus",7,0,1.000,0.000,0.937,0.063
"love",158,2,0.988,0.013,0.984,0.016
"type",17,0,1.000,0.000,0.972,0.028
"swearer",1,0,1.000,0.000,0.750,0.250
"dad",38,1,0.974,0.026,0.962,0.038
"recorded",5,2,0.714,0.286,0.687,0.313
"all",272,42,0.866,0.134,0.865,0.135
"adorable",73,0,1.000,0.000,0.993,0.007
"questions",115,14,0.891,0.109,0.888,0.112
"son",17,8,0.680,0.320,0.673,0.327
"asked",28,3,0.903,0.097,0.891,0.109
"watching",19,0,1.000,0.000,0.975,0.025
"wars",53,4,0.930,0.070,0.922,0.078
"first",125,143,0.466,0.534,0.467,0.533
"29",69,5,0.932,0.068,0.927,0.073
"impossibly",6,0,1.000,0.000,0.929,0.071
"stylish",6,0,1.000,0.000,0.929,0.071
"cat",58,4,0.935,0.065,0.929,0.071
"gifts",86,1,0.989,0.011,0.983,0.017
"order",5,13,0.278,0.722,0.289,0.711
"awesomeness",1,0,1.000,0.000,0.750,0.250
"13",134,18,0.882,0.118,0.879,0.121
"glorious",10,2,0.833,0.167,0.808,0.192
"made-up",1,0,1.000,0.000,0.750,0.250
"words",47,4,0.922,0.078,0.913,0.087
"literature",9,0,1.000,0.000,0.950,0.050
"we",440,3,0.993,0.007,0.992,0.008
"pranked",6,0,1.000,0.000,0.929,0.071
"bunch",17,0,1.000,0.000,0.972,0.028
"people",471,55,0.895,0.105,0.895,0.105
"by",157,274,0.364,0.636,0.365,0.635
"dropping",2,3,0.400,0.600,0.417,0.583
"iphone",13,14,0.481,0.519,0.482,0.518
"front",6,3,0.667,0.333,0.650,0.350
"them",42,7,0.857,0.143,0.850,0.150
"23",196,4,0.980,0.020,0.978,0.022
"flaws",2,1,0.667,0.333,0.625,0.375
"sneakerhead",1,0,1.000,0.000,0.750,0.250
"know",438,3,0.993,0.007,0.992,0.008
"sign",122,12,0.910,0.090,0.907,0.093
"choose",15,4,0.789,0.211,0.775,0.225
"grimes",1,0,1.000,0.000,0.750,0.250
"album",21,5,0.808,0.192,0.796,0.204
"heartbreaking",21,1,0.955,0.045,0.935,0.065
"inspiration",2,1,0.667,0.333,0.625,0.375
"behind",9,18,0.333,0.667,0.339,0.661
"oblivion",1,0,1.000,0.000,0.750,0.250
"instagram",72,0,1.000,0.000,0.993,0.007
"account",12,3,0.800,0.200,0.781,0.219
"recreating",2,0,1.000,0.000,0.833,0.167
"2015's",4,0,1.000,0.000,0.900,0.100
"greatest",24,3,0.889,0.111,0.875,0.125
"hits",5,53,0.086,0.914,0.093,0.907
"barbies",1,0,1.000,0.000,0.750,0.250
"22",142,4,0.973,0.027,0.969,0.031
"adele",27,0,1.000,0.000,0.982,0.018
"memes",22,0,1.000,0.000,0.978,0.022
"pictures",140,4,0.972,0.028,0.969,0.031
"hot",67,3,0.957,0.043,0.951,0.049
"will",648,70,0.903,0.097,0.902,0.098
"never",108,4,0.964,0.036,0.960,0.040
"understand",121,0,1.000,0.000,0.996,0.004
"badly",2,2,0.500,0.500,0.500,0.500
"taking",22,7,0.759,0.241,0.750,0.250
"direction",17,2,0.895,0.105,0.875,0.125
"hiatus",1,0,1.000,0.000,0.750,0.250
"want",107,11,0.907,0.093,0.903,0.097
"guys",44,0,1.000,0.000,0.989,0.011
"pinterest",6,0,1.000,0.000,0.929,0.071
"leaf",2,0,1.000,0.000,0.833,0.167
"hacks",21,2,0.913,0.087,0.896,0.104
"tips",26,1,0.963,0.037,0.946,0.054
"hiking",1,0,1.000,0.000,0.750,0.250
"kids",82,1,0.988,0.012,0.982,0.018
"parent",6,2,0.750,0.250,0.722,0.278
"scariest",2,0,1.000,0.000,0.833,0.167
"halloween",125,0,1.000,0.000,0.996,0.004
"candy",26,0,1.000,0.000,0.981,0.019
"taste",21,0,1.000,0.000,0.977,0.023
"test",66,37,0.641,0.359,0.639,0.361
"dog",62,12,0.838,0.162,0.833,0.167
"begging",1,0,1.000,0.000,0.750,0.250
"human's",1,0,1.000,0.000,0.750,0.250
"forgiveness",1,0,1.000,0.000,0.750,0.250
"cutest",19,0,1.000,0.000,0.975,0.025
"you'll",138,0,1.000,0.000,0.996,0.004
"today",36,9,0.800,0.200,0.793,0.207
"100",19,25,0.432,0.568,0.433,0.567
"years",55,54,0.505,0.495,0.505,0.495
"bollywood",11,1,0.917,0.083,0.885,0.115
"cinema",2,2,0.500,0.500,0.500,0.500
"under",16,26,0.381,0.619,0.384,0.616
"four",16,50,0.242,0.758,0.246,0.754
"minutes",13,3,0.812,0.188,0.794,0.206
"ed",12,5,0.706,0.294,0.694,0.306
"westwick",2,0,1.000,0.000,0.833,0.167
"showed",4,0,1.000,0.000,0.900,0.100
"up",204,87,0.701,0.299,0.700,0.300
"emmys",13,0,1.000,0.000,0.964,0.036
"party",30,65,0.316,0.684,0.318,0.682
"looking",14,10,0.583,0.417,0.580,0.420
"like",256,9,0.966,0.034,0.964,0.036
"chuck",2,1,0.667,0.333,0.625,0.375
"bass",2,0,1.000,0.000,0.833,0.167
"dreams",16,3,0.842,0.158,0.825,0.175
"favorite",151,2,0.987,0.013,0.984,0.016
"activity",1,4,0.200,0.800,0.250,0.750
"visiting",2,4,0.333,0.667,0.357,0.643
"take",67,41,0.620,0.380,0.619,0.381
"color",43,3,0.935,0.065,0.926,0.074
"far",22,7,0.759,0.241,0.750,0.250
"you'd",14,0,1.000,0.000,0.967,0.033
"go",43,25,0.632,0.368,0.630,0.370
"brave",6,0,1.000,0.000,0.929,0.071
"enough",7,4,0.636,0.364,0.625,0.375
"date",43,8,0.843,0.157,0.837,0.163
"werewolf",2,0,1.000,0.000,0.833,0.167
"18",185,7,0.964,0.036,0.961,0.039
"everyone",148,1,0.993,0.007,0.990,0.010
"hates",13,0,1.000,0.000,0.964,0.036
"pda",1,0,1.000,0.000,0.750,0.250
"27",114,7,0.942,0.058,0.939,0.061
"always",28,1,0.966,0.034,0.950,0.050
"happen",52,0,1.000,0.000,0.991,0.009
"office",27,19,0.587,0.413,0.585,0.415
"many",41,24,0.631,0.369,0.629,0.371
"these",348,1,0.997,0.003,0.996,0.004
"spongebob",6,0,1.000,0.000,0.929,0.071
"faces",22,39,0.361,0.639,0.363,0.637
"recognize",15,0,1.000,0.000,0.969,0.031
"golden",22,1,0.957,0.043,0.937,0.063
"globe",6,5,0.545,0.455,0.542,0.458
"reaction",16,3,0.842,0.158,0.825,0.175
"face",25,23,0.521,0.479,0.520,0.480
"25",92,15,0.860,0.140,0.856,0.144
"reasons",125,3,0.977,0.023,0.973,0.027
"trip",4,6,0.400,0.600,0.409,0.591
"costa",1,3,0.250,0.750,0.300,0.700
"rica",1,1,0.500,0.500,0.500,0.500
"could",41,29,0.586,0.414,0.585,0.415
"change",24,33,0.421,0.579,0.422,0.578
"life",212,24,0.898,0.102,0.897,0.103
"literally",42,0,1.000,0.000,0.988,0.012
"just",204,16,0.927,0.073,0.925,0.075
"46",7,1,0.875,0.125,0.833,0.167
"photos",135,6,0.957,0.043,0.954,0.046
"scotland",8,24,0.250,0.750,0.258,0.742
"sexy",28,0,1.000,0.000,0.983,0.017
"as",128,288,0.308,0.692,0.308,0.692
"hell",14,0,1.000,0.000,0.967,0.033
"58",3,0,1.000,0.000,0.875,0.125
"mildly",9,0,1.000,0.000,0.950,0.050
"annoy",3,0,1.000,0.000,0.875,0.125
"anyone",81,0,1.000,0.000,0.994,0.006
"lives",22,10,0.688,0.312,0.682,0.318
"someone",50,1,0.980,0.020,0.971,0.029
"messy",3,0,1.000,0.000,0.875,0.125
"places",25,2,0.926,0.074,0.911,0.089
"lovers",18,0,1.000,0.000,0.974,0.026
"london",15,77,0.163,0.837,0.167,0.833
"lyrics",54,0,1.000,0.000,0.991,0.009
"hotline",12,0,1.000,0.000,0.962,0.038
"bling",11,0,1.000,0.000,0.958,0.042
"drake",23,0,1.000,0.000,0.979,0.021
"weasley",2,1,0.667,0.333,0.625,0.375
"books",41,4,0.911,0.089,0.902,0.098
"90s",45,0,1.000,0.000,0.989,0.011
"kid",27,0,1.000,0.000,0.982,0.018
"immediately",19,1,0.950,0.050,0.929,0.071
"organisation",1,2,0.333,0.667,0.375,0.625
"trying",20,7,0.741,0.259,0.732,0.268
"launch",1,41,0.024,0.976,0.035,0.965
"india's",11,3,0.786,0.214,0.767,0.233
"transgender",7,2,0.778,0.222,0.750,0.250
"model",24,7,0.774,0.226,0.766,0.234
"agency",1,10,0.091,0.909,0.125,0.875
"request",2,5,0.286,0.714,0.312,0.688
"timeout",1,0,1.000,0.000,0.750,0.250
"issa",1,0,1.000,0.000,0.750,0.250
"rae's",1,0,1.000,0.000,0.750,0.250
"insecure",2,0,1.000,0.000,0.833,0.167
"coming",7,5,0.583,0.417,0.577,0.423
"hbo",3,1,0.750,0.250,0.700,0.300
"long",20,15,0.571,0.429,0.569,0.431
"well",120,9,0.930,0.070,0.927,0.073
"pretty",35,1,0.972,0.028,0.959,0.041
"little",59,21,0.738,0.263,0.735,0.265
"liars",7,0,1.000,0.000,0.937,0.063
"you've",77,0,1.000,0.000,0.994,0.006
"using",17,16,0.515,0.485,0.515,0.485
"rice",7,4,0.636,0.364,0.625,0.375
"cooker",13,0,1.000,0.000,0.964,0.036
"wrong",28,4,0.875,0.125,0.864,0.136
"entire",21,0,1.000,0.000,0.977,0.023
"no",70,54,0.565,0.435,0.564,0.436
"actors",14,1,0.933,0.067,0.906,0.094
"nominated",1,3,0.250,0.750,0.300,0.700
"oscar",14,2,0.875,0.125,0.853,0.147
"year",82,44,0.651,0.349,0.650,0.350
"pissed",3,0,1.000,0.000,0.875,0.125
"totally",83,0,1.000,0.000,0.994,0.006
"nailed",14,0,1.000,0.000,0.967,0.033
"modern",7,4,0.636,0.364,0.625,0.375
"day",101,72,0.584,0.416,0.583,0.417
"would",128,11,0.921,0.079,0.918,0.082
"easy",62,2,0.969,0.031,0.962,0.038
"delicious",57,0,1.000,0.000,0.991,0.009
"one-pan",1,0,1.000,0.000,0.750,0.250
"breakfasts",7,0,1.000,0.000,0.937,0.063
"tried",50,3,0.943,0.057,0.935,0.065
"magic",11,2,0.846,0.154,0.821,0.179
"wands",2,0,1.000,0.000,0.833,0.167
"happened",68,1,0.986,0.014,0.979,0.021
"charli",1,0,1.000,0.000,0.750,0.250
"xcx",1,0,1.000,0.000,0.750,0.250
"looked",24,0,1.000,0.000,0.980,0.020
"space",13,39,0.250,0.750,0.255,0.745
"dominatrix",1,0,1.000,0.000,0.750,0.250
"mtv",8,5,0.615,0.385,0.607,0.393
"emas",7,0,1.000,0.000,0.937,0.063
"avengers",3,0,1.000,0.000,0.875,0.125
"they",92,9,0.911,0.089,0.907,0.093
"originally",1,0,1.000,0.000,0.750,0.250
"comics",16,0,1.000,0.000,0.971,0.029
"urinals",1,1,0.500,0.500,0.500,0.500
"worst",64,3,0.955,0.045,0.949,0.051
"human",17,24,0.415,0.585,0.417,0.583
"invention",1,0,1.000,0.000,0.750,0.250
"free",10,21,0.323,0.677,0.328,0.672
"car",9,46,0.164,0.836,0.170,0.830
"oprah",7,3,0.700,0.300,0.682,0.318
"tub",2,0,1.000,0.000,0.833,0.167
"vaseline",1,0,1.000,0.000,0.750,0.250
"tyra",2,0,1.000,0.000,0.833,0.167
"28",35,9,0.795,0.205,0.789,0.211
"crimes",1,13,0.071,0.929,0.100,0.900
"committed",2,2,0.500,0.500,0.500,0.500
"19",317,10,0.969,0.031,0.968,0.032
"beautiful",59,1,0.983,0.017,0.975,0.025
"feels",22,2,0.917,0.083,0.900,0.100
"rid",4,0,1.000,0.000,0.900,0.100
"acne",2,0,1.000,0.000,0.833,0.167
"over",63,236,0.211,0.789,0.212,0.788
"body",25,15,0.625,0.375,0.622,0.378
"24-year-old",1,0,1.000,0.000,0.750,0.250
"got",89,3,0.967,0.033,0.962,0.038
"drunk",29,1,0.967,0.033,0.952,0.048
"accidentally",8,3,0.727,0.273,0.708,0.292
"booked",1,0,1.000,0.000,0.750,0.250
"insane",29,0,1.000,0.000,0.983,0.017
"vacation",6,1,0.857,0.143,0.812,0.188
"going",49,8,0.860,0.140,0.853,0.147
"buy",17,20,0.459,0.541,0.461,0.539
"leona",1,0,1.000,0.000,0.750,0.250
"lewis's",1,0,1.000,0.000,0.750,0.250
"exclusive",2,2,0.500,0.500,0.500,0.500
"grindr",3,0,1.000,0.000,0.875,0.125
"24",108,10,0.915,0.085,0.912,0.088
"desserts",21,0,1.000,0.000,0.977,0.023
"aren't",26,0,1.000,0.000,0.981,0.019
"pie",8,0,1.000,0.000,0.944,0.056
"jason",5,2,0.714,0.286,0.687,0.313
"aldean",1,0,1.000,0.000,0.750,0.250
"wore",20,0,1.000,0.000,0.976,0.024
"blackface",2,0,1.000,0.000,0.833,0.167
"dress",17,0,1.000,0.000,0.972,0.028
"lil",4,0,1.000,0.000,0.900,0.100
"wayne",1,1,0.500,0.500,0.500,0.500
"college",43,15,0.741,0.259,0.737,0.263
"sucked",4,0,1.000,0.000,0.900,0.100
"hardest",19,0,1.000,0.000,0.975,0.025
"america's",5,5,0.500,0.500,0.500,0.500
"next",36,16,0.692,0.308,0.689,0.311
"top",16,44,0.267,0.733,0.270,0.730
"quiz",50,0,1.000,0.000,0.990,0.010
"determine",42,0,1.000,0.000,0.988,0.012
"masturbate",2,0,1.000,0.000,0.833,0.167
"42",13,3,0.812,0.188,0.794,0.206
"romantic",11,1,0.917,0.083,0.885,0.115
"lines",13,1,0.929,0.071,0.900,0.100
"ya",10,0,1.000,0.000,0.955,0.045
"reporter",9,12,0.429,0.571,0.432,0.568
"responded",7,1,0.875,0.125,0.833,0.167
"vulgar",1,0,1.000,0.000,0.750,0.250
"comment",9,0,1.000,0.000,0.950,0.050
"mama",1,0,1.000,0.000,0.750,0.250
"joke",10,1,0.909,0.091,0.875,0.125
"smooth",1,1,0.500,0.500,0.500,0.500
"af",56,0,1.000,0.000,0.991,0.009
"bart",1,1,0.500,0.500,0.500,0.500
"lisa",5,0,1.000,0.000,0.917,0.083
"compatible",3,0,1.000,0.000,0.875,0.125
"remember",90,1,0.989,0.011,0.984,0.016
"vampire",5,0,1.000,0.000,0.917,0.083
"diaries",3,0,1.000,0.000,0.875,0.125
"murder",6,44,0.120,0.880,0.127,0.873
"house",43,69,0.384,0.616,0.385,0.615
"sabrina",2,0,1.000,0.000,0.833,0.167
"teenage",7,2,0.778,0.222,0.750,0.250
"witch",8,1,0.889,0.111,0.850,0.150
"12",95,16,0.856,0.144,0.853,0.147
"grew",20,2,0.909,0.091,0.891,0.109
"san",9,27,0.250,0.750,0.257,0.743
"francisco",7,12,0.368,0.632,0.375,0.625
"say",53,41,0.564,0.436,0.563,0.437
"chronic",2,0,1.000,0.000,0.833,0.167
"pain",3,4,0.429,0.571,0.437,0.563
"hear",20,1,0.952,0.048,0.932,0.068
"amazing",69,1,0.986,0.014,0.979,0.021
"bodycon",1,0,1.000,0.000,0.750,0.250
"looks",94,23,0.803,0.197,0.801,0.199
"wanna",2,0,1.000,0.000,0.833,0.167
"rock",25,4,0.862,0.138,0.850,0.150
"there's",16,0,1.000,0.000,0.971,0.029
"beauty",47,2,0.959,0.041,0.950,0.050
"box",5,4,0.556,0.444,0.550,0.450
"catering",1,0,1.000,0.000,0.750,0.250
"taught",15,1,0.938,0.062,0.912,0.088
"grandmas",5,0,1.000,0.000,0.917,0.083
"nae",5,0,1.000,0.000,0.917,0.083
"it",245,61,0.801,0.199,0.800,0.200
"was",261,37,0.876,0.124,0.875,0.125
"products",53,4,0.930,0.070,0.922,0.078
"embracing",1,1,0.500,0.500,0.500,0.500
"inner",6,3,0.667,0.333,0.650,0.350
"kanye",24,0,1.000,0.000,0.980,0.020
"draw",3,13,0.188,0.812,0.206,0.794
"hand",9,9,0.500,0.500,0.500,0.500
"maybe",5,1,0.833,0.167,0.786,0.214
"can",424,24,0.946,0.054,0.945,0.055
"identify",45,4,0.918,0.082,0.910,0.090
"movies",70,4,0.946,0.054,0.940,0.060
"main",1,7,0.125,0.875,0.167,0.833
"character's",1,0,1.000,0.000,0.750,0.250
"bff",25,0,1.000,0.000,0.981,0.019
"tweets",131,0,1.000,0.000,0.996,0.004
"prove",73,3,0.961,0.039,0.955,0.045
"real",162,12,0.931,0.069,0.929,0.071
"dick",8,3,0.727,0.273,0.708,0.292
"sometimes",2,0,1.000,0.000,0.833,0.167
"badass",22,0,1.000,0.000,0.978,0.022
"lady",25,10,0.714,0.286,0.708,0.292
"valentine",8,1,0.889,0.111,0.850,0.150
